_step,training/global_step,critic/rewards/mean,critic/rewards_sum/mean,critic/advantages/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,actor/ppo_kl,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_replay/skip_uid_set_size,exp_mask_ratio,val-aux/alfworld/reward/mean@1,val-aux/alfworld/reward/mean@2,val-aux/alfworld/reward/mean@3,val-aux/alfworld/reward/best@64/mean,label
1,1,0.421875,0.421875,-0.03852029889822006,0.12721475958824158,0.0023613865487277508,0.04759337566792965,0.0,0,0,4,0,0.0,,,,,"ER exp_ratio=0.25, start=0.10"
2,2,0.171875,0.171875,-0.010952789336442947,0.17747028172016144,0.006154052447527647,-0.1429833397269249,0.0,0,0,6,0,0.0,,,,,"ER exp_ratio=0.25, start=0.10"
3,3,0.265625,0.265625,-0.020159060135483742,0.1479056179523468,0.003903181292116642,-0.020575951784849167,0.0,0,0,9,0,0.0,,,,,"ER exp_ratio=0.25, start=0.10"
4,4,0.21875,0.21875,-0.019052373245358467,0.12237945199012756,0.004313736688345671,0.0008259136229753494,0.0,0,0,13,0,0.0,,,,,"ER exp_ratio=0.25, start=0.10"
5,5,0.359375,0.359375,-0.0344192311167717,0.16405002772808075,0.016905665397644043,0.16876891255378723,0.0,0,0,17,0,0.0,,,,,"ER exp_ratio=0.25, start=0.10"
6,6,0.328125,0.328125,-0.022974053397774696,0.1178019568324089,0.0059372722171247005,-0.018408462405204773,0.0,0,0,21,0,0.0,,,,,"ER exp_ratio=0.25, start=0.10"
7,7,0.265625,0.265625,-0.02430003508925438,0.11345456540584564,0.006897943560034037,-0.3003140464425087,0.0,0,0,23,0,0.0,,,,,"ER exp_ratio=0.25, start=0.10"
8,8,0.21875,0.21875,-0.017837047576904297,0.12535081803798676,0.010466287843883038,0.09895343706011772,0.0,0,0,25,0,0.0,,,,,"ER exp_ratio=0.25, start=0.10"
9,9,0.296875,0.296875,-0.026009321212768555,0.1486021876335144,0.017952362075448036,-0.047593383118510246,0.0,0,0,29,0,0.0,,,,,"ER exp_ratio=0.25, start=0.10"
10,10,0.4375,0.4375,-0.04001125320792198,0.12650606036186218,0.179956316947937,0.051070841029286385,0.0,2,2,33,0,0.0005378560163080692,,,,,"ER exp_ratio=0.25, start=0.10"
11,11,0.359375,0.359375,-0.03748687729239464,0.20390960574150085,0.039348602294921875,0.009309789165854454,0.0,2,2,34,1,0.0022260143887251616,,,,,"ER exp_ratio=0.25, start=0.10"
12,12,0.453125,0.453125,-0.03468656167387962,0.13940155506134033,0.0360291562974453,-0.11748697236180305,0.0,2,2,36,2,0.0006818181718699634,,,,,"ER exp_ratio=0.25, start=0.10"
