_step,training/global_step,critic/rewards/mean,critic/rewards_sum/mean,critic/advantages/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,actor/ppo_kl,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_replay/skip_uid_set_size,exp_mask_ratio,val-aux/alfworld/reward/mean@1,val-aux/alfworld/reward/mean@2,val-aux/alfworld/reward/mean@3,val-aux/alfworld/reward/best@64/mean,label
1,1,0.4375,0.4375,-0.04209788888692856,0.12589935958385468,0.00724266842007637,-0.04102114588022232,0.0,0,0,6,0,0.0,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
2,2,0.15625,0.15625,-0.027753271162509918,0.18120768666267395,0.003557712770998478,0.02222209796309471,0.0,0,0,7,0,0.0,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
3,3,0.265625,0.265625,-0.025057397782802582,0.15279299020767212,0.005364342592656612,0.25085596926510334,0.0,0,0,10,0,0.0,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
4,4,0.171875,0.171875,-0.018691159784793854,0.12053617089986801,0.004192687105387449,-0.1924414001405239,0.0,0,0,11,0,0.0,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
5,5,0.359375,0.359375,-0.03026128001511097,0.17388378083705902,0.016369687393307686,0.11775247752666473,0.0,0,0,15,0,0.0,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
6,6,0.375,0.375,-0.03212207928299904,0.12214075773954391,0.008679797872900963,0.06050569377839565,0.0,0,0,19,0,0.0,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
7,7,0.28125,0.28125,-0.024536574259400368,0.11139058321714401,0.007029571570456028,0.05022958293557167,0.0,0,0,21,1,0.0,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
8,8,0.328125,0.328125,-0.017628131434321404,0.13141511380672455,0.01026161015033722,-0.11145144701004028,0.0,0,0,25,1,0.0,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
9,9,0.34375,0.34375,-0.024676382541656494,0.15595121681690216,0.013645284809172153,-0.06394408084452152,0.0,0,0,27,2,0.0,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
10,10,0.390625,0.390625,-0.030152739956974983,0.141805499792099,0.36387112736701965,0.23537732101976871,-0.03768507670611143,4,4,27,2,0.0014712214469909668,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
11,11,0.34375,0.34375,-0.045615147799253464,0.15852496027946472,0.5405327677726746,-0.09976295381784439,-0.0031429724767804146,4,4,28,2,0.0028258757665753365,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
12,12,0.59375,0.59375,-0.0428173802793026,0.1615283489227295,0.17787529528141022,0.03246106207370758,0.007989163510501385,4,4,30,3,0.0019519944908097386,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
13,13,0.4375,0.4375,-0.06112092360854149,0.18813738226890564,0.29556578397750854,-0.006462486460804939,0.0,4,4,32,3,0.0028991177678108215,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
14,14,0.578125,0.578125,-0.034598808735609055,0.1651037037372589,0.24776235222816467,0.010541578754782677,0.01784912869334221,4,4,33,4,0.0020802824292331934,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
15,15,0.4375,0.4375,-0.04676368832588196,0.1758183389902115,0.08282306790351868,-0.16205424442887306,0.00911034643650055,4,4,35,4,0.0018123489571735263,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
16,16,0.765625,0.765625,-0.048719994723796844,0.155635267496109,0.36967384815216064,0.07293738797307014,0.045441633090376854,4,4,37,5,0.0022164564579725266,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
