_step,is_offpolicy,offpolicy_ratio,exp_tokens,response_valid_tokens,reward_outcome,success,entropy_scalar
1,0.0,0.0,0.0,3584.0,0.0,0.0,0.26972201466560364
1,0.0,0.0,0.0,1753.0,1.0,1.0,0.2914172410964966
1,0.0,0.0,0.0,1043.0,1.0,1.0,0.21975643932819366
1,0.0,0.0,0.0,3561.0,0.0,0.0,0.22282832860946655
1,0.0,0.0,0.0,6790.0,0.0,0.0,0.11653458327054977
1,0.0,0.0,0.0,6051.0,0.0,0.0,0.1373656541109085
1,0.0,0.0,0.0,5175.0,0.0,0.0,0.15426228940486908
1,0.0,0.0,0.0,5409.0,0.0,0.0,0.11560655385255814
1,0.0,0.0,0.0,9620.0,0.0,0.0,0.0758214220404625
1,0.0,0.0,0.0,10265.0,0.0,0.0,0.05998186022043228
1,0.0,0.0,0.0,10075.0,0.0,0.0,0.11972071975469589
1,0.0,0.0,0.0,2443.0,1.0,1.0,0.07896867394447327
1,0.0,0.0,0.0,4509.0,0.0,0.0,0.19441351294517517
1,0.0,0.0,0.0,1783.0,1.0,1.0,0.18356654047966003
1,0.0,0.0,0.0,5214.0,0.0,0.0,0.12167138606309891
1,0.0,0.0,0.0,5338.0,0.0,0.0,0.10180482268333435
1,0.0,0.0,0.0,552.0,1.0,1.0,0.28369295597076416
1,0.0,0.0,0.0,3349.0,0.0,0.0,0.16203421354293823
1,0.0,0.0,0.0,7005.0,0.0,0.0,0.12848979234695435
1,0.0,0.0,0.0,2508.0,1.0,1.0,0.17046089470386505
1,0.0,0.0,0.0,5127.0,0.0,0.0,0.1854095160961151
1,0.0,0.0,0.0,5613.0,0.0,0.0,0.1317903846502304
1,0.0,0.0,0.0,5245.0,0.0,0.0,0.13397501409053802
1,0.0,0.0,0.0,5282.0,0.0,0.0,0.13031086325645447
1,0.0,0.0,0.0,10813.0,0.0,0.0,0.12569135427474976
1,0.0,0.0,0.0,10247.0,0.0,0.0,0.08056095242500305
1,0.0,0.0,0.0,8058.0,1.0,1.0,0.0656438022851944
1,0.0,0.0,0.0,4412.0,0.0,0.0,0.17493650317192078
1,0.0,0.0,0.0,1390.0,1.0,1.0,0.166131392121315
1,0.0,0.0,0.0,3050.0,1.0,1.0,0.15860752761363983
1,0.0,0.0,0.0,4824.0,0.0,0.0,0.08632557094097137
1,0.0,0.0,0.0,5418.0,0.0,0.0,0.12331235408782959
1,0.0,0.0,0.0,1013.0,1.0,1.0,0.208870530128479
1,0.0,0.0,0.0,3874.0,0.0,0.0,0.26961061358451843
1,0.0,0.0,0.0,1725.0,1.0,1.0,0.1280038207769394
1,0.0,0.0,0.0,6053.0,0.0,0.0,0.11790579557418823
1,0.0,0.0,0.0,5350.0,0.0,0.0,0.162176251411438
1,0.0,0.0,0.0,3295.0,1.0,1.0,0.12803718447685242
1,0.0,0.0,0.0,5205.0,0.0,0.0,0.1290537416934967
1,0.0,0.0,0.0,5201.0,0.0,0.0,0.1090020090341568
1,0.0,0.0,0.0,5386.0,0.0,0.0,0.09393478184938431
1,0.0,0.0,0.0,10153.0,0.0,0.0,0.11428532004356384
1,0.0,0.0,0.0,9999.0,0.0,0.0,0.09865961968898773
1,0.0,0.0,0.0,10531.0,0.0,0.0,0.08927085995674133
1,0.0,0.0,0.0,2453.0,1.0,1.0,0.0800127238035202
1,0.0,0.0,0.0,2231.0,1.0,1.0,0.176279678940773
1,0.0,0.0,0.0,4554.0,1.0,1.0,0.13625848293304443
