_step,split,n_rollouts,success_rate,reward_outcome_mean,response_valid_tokens_mean,entropy_scalar_mean,offpolicy_ratio_mean,exp_tokens_mean
1,onpolicy,64.0,0.328125,0.328125,5163.234375,0.13958583562634885,0.0,0.0
1,overall,64.0,0.328125,0.328125,5163.234375,0.13958583562634885,0.0,0.0
2,onpolicy,64.0,0.203125,0.203125,4428.25,0.18394588073715568,0.0,0.0
2,overall,64.0,0.203125,0.203125,4428.25,0.18394588073715568,0.0,0.0
3,onpolicy,64.0,0.359375,0.359375,5246.4375,0.15721573599148542,0.0,0.0
3,overall,64.0,0.359375,0.359375,5246.4375,0.15721573599148542,0.0,0.0
4,onpolicy,64.0,0.234375,0.234375,6219.578125,0.1305666551925242,0.0,0.0
4,overall,64.0,0.234375,0.234375,6219.578125,0.1305666551925242,0.0,0.0
5,onpolicy,64.0,0.265625,0.265625,4811.015625,0.18374250794295222,0.0,0.0
5,overall,64.0,0.265625,0.265625,4811.015625,0.18374250794295222,0.0,0.0
6,onpolicy,64.0,0.375,0.375,6158.59375,0.15443548694020137,0.0,0.0
6,overall,64.0,0.375,0.375,6158.59375,0.15443548694020137,0.0,0.0
7,onpolicy,64.0,0.34375,0.34375,6728.21875,0.13133066217415035,0.0,0.0
7,overall,64.0,0.34375,0.34375,6728.21875,0.13133066217415035,0.0,0.0
8,onpolicy,64.0,0.328125,0.328125,6772.765625,0.1447996310889721,0.0,0.0
8,overall,64.0,0.328125,0.328125,6772.765625,0.1447996310889721,0.0,0.0
9,onpolicy,64.0,0.28125,0.28125,5736.65625,0.1754173869267106,0.0,0.0
9,overall,64.0,0.28125,0.28125,5736.65625,0.1754173869267106,0.0,0.0
10,offpolicy,4.0,1.0,1.0,1915.75,0.17584656551480293,0.14162423228714105,277.5
10,onpolicy,60.0,0.3,0.3,6448.733333333334,0.16965755596756935,0.0,0.0
10,overall,64.0,0.34375,0.34375,6165.421875,0.17004436906427145,0.008851514517946316,17.34375
11,offpolicy,4.0,1.0,1.0,1967.5,0.15504265949130058,0.15678577945076252,300.0
11,onpolicy,60.0,0.5166666666666667,0.5166666666666667,4834.3,0.1926477774977684,0.0,0.0
11,overall,64.0,0.546875,0.546875,4655.125,0.19029745762236416,0.009799111215672658,18.75
12,offpolicy,4.0,1.0,1.0,2961.5,0.12972399778664112,0.14186090870125617,447.25
12,onpolicy,60.0,0.45,0.45,5750.95,0.16526509138445059,0.0,0.0
12,overall,64.0,0.484375,0.484375,5576.609375,0.1630437730345875,0.008866306793828509,27.953125
13,offpolicy,4.0,1.0,1.0,2198.5,0.20330916158854961,0.18402853789766474,412.5
13,onpolicy,60.0,0.43333333333333335,0.43333333333333335,4810.716666666666,0.21606612453858057,0.0,0.0
13,overall,64.0,0.46875,0.46875,4647.453125,0.21526881435420364,0.011501783618604046,25.78125
14,offpolicy,4.0,1.0,1.0,2697.25,0.16200273111462593,0.15392986244084517,374.5
14,onpolicy,60.0,0.43333333333333335,0.43333333333333335,5245.7,0.19245055119196575,0.0,0.0
14,overall,64.0,0.46875,0.46875,5086.421875,0.190547562437132,0.009620616402552823,23.40625
15,offpolicy,4.0,1.0,1.0,2060.25,0.1890415959060192,0.18208239908187285,338.0
15,onpolicy,60.0,0.4166666666666667,0.4166666666666667,5335.35,0.19126477017998694,0.0,0.0
