_step,training/global_step,critic/rewards/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_replay/offpolicy_rollout_ratio,exp_replay/offpolicy_token_ratio_llm,exp_replay/offpolicy_token_ratio_response,exp_replay/offpolicy_age_mean,exp_replay/offpolicy_age_max,exp_replay/offpolicy_age_min,exp_replay/offpolicy_age_count,exp_replay/entropy_llm_mean,exp_replay/entropy_llm_onpolicy_mean,exp_replay/entropy_llm_offpolicy_mean,exp_replay_diag/importance_ratio/off/mean,exp_replay_diag/importance_ratio/off/p90,exp_replay_diag/importance_ratio/off/p99,exp_replay_diag/importance_ratio/off/max,exp_replay_diag/importance_ratio_shaped/off/mean,exp_replay_diag/importance_ratio_shaped/off/p99,exp_replay_diag/adv/off/mean,exp_replay_diag/adv/on/mean
1,1,0.328125,0.12285671383142471,0.002642155159264803,0.24068119376897812,0,0,4,0.0,0.0,0.0,,,,,0.6041512489318848,0.6041512489318848,0.0,,,,,,,,-0.24068120494484901
2,2,0.203125,0.18285638093948364,0.003806662280112505,-0.17677617259323597,0,0,6,0.0,0.0,0.0,,,,,0.6769141554832458,0.6769141554832458,0.0,,,,,,,,0.17677619494497776
3,3,0.359375,0.14431609213352203,0.007057224400341511,0.00244833342730999,0,0,10,0.0,0.0,0.0,,,,,0.6829276084899902,0.6829276084899902,0.0,,,,,,,,-0.002448340877890587
4,4,0.234375,0.11974252760410309,0.007307847961783409,-0.02331351861357689,0,0,10,0.0,0.0,0.0,,,,,0.6296780705451965,0.6296780705451965,0.0,,,,,,,,0.023313522338867188
5,5,0.265625,0.18110640347003937,0.008967146277427673,0.3032837510108948,0,0,12,0.0,0.0,0.0,,,,,0.7474592328071594,0.7474592328071594,0.0,,,,,,,,-0.3032837547361851
6,6,0.375,0.11763988435268402,0.010767733678221703,0.022097021341323853,0,0,13,0.0,0.0,0.0,,,,,0.6879104971885681,0.6879104971885681,0.0,,,,,,,,-0.022097021341323853
7,7,0.34375,0.11449539661407471,0.006421749945729971,0.04501994699239731,0,0,16,0.0,0.0,0.0,,,,,0.6719763875007629,0.6719763875007629,0.0,,,,,,,,-0.0450199618935585
8,8,0.328125,0.12430074065923691,0.010243724100291729,0.24306725710630417,0,0,18,0.0,0.0,0.0,,,,,0.6724539399147034,0.6724539399147034,0.0,,,,,,,,-0.24306725896894932
9,9,0.28125,0.14322014153003693,0.013675615191459656,0.18964943662285805,0,0,19,0.0,0.0,0.0,,,,,0.7387444972991943,0.7387444972991943,0.0,,,,,,,,-0.18964944407343864
10,10,0.34375,0.14721547067165375,0.020571395754814148,-0.08656245656311512,4,4,19,0.0625,0.019765662029385567,0.002813067752867937,4.75,9.0,2.0,4.0,0.7853062748908997,0.7937021851539612,0.3689315617084503,,,,,,,,0.08656247146427631
