_step,diag/exp_token_ratio,diag/teacher_token_ratio,diag/llm_token_ratio_in_response,diag/teacher_llm_token_ratio,diag/teacher_sample_ratio,diag/offpolicy_sample_ratio,diag/adv_onpolicy_token_mean,diag/adv_onpolicy_sample_mean,diag/onpolicy_adv_pos_ratio,diag/reward_onpolicy_mean,diag/entropy_onpolicy_token_mean,diag/entropy_onpolicy_token_std,diag/adv_self_off_token_mean,diag/entropy_offpolicy_token_mean
1,0.0,0.0,0.14352376759052277,0.0,0.0,0.0,-0.0376768596470356,-0.005020154174417257,0.328125,0.328125,0.12285671383142471,0.4109742343425751,,
2,0.0,0.0,0.20411209762096405,0.0,0.0,0.0,-0.015534129925072193,0.004278266336768866,0.203125,0.203125,0.18285638093948364,0.49856939911842346,,
3,0.0,0.0,0.15354764461517334,0.0,0.0,0.0,-0.02798408828675747,6.509851664304733e-05,0.359375,0.359375,0.14431609213352203,0.4500047266483307,,
4,0.0,0.0,0.1369013637304306,0.0,0.0,0.0,-0.026980377733707428,-0.004672848619520664,0.234375,0.234375,0.11974252760410309,0.40631628036499023,,
5,0.0,0.0,0.18585602939128876,0.0,0.0,0.0,-0.03286153823137283,-0.0022192862816154957,0.265625,0.265625,0.18110640347003937,0.5045406818389893,,
6,0.0,0.0,0.1270912140607834,0.0,0.0,0.0,-0.009860716760158539,-0.001459504128433764,0.125,0.375,0.11763987690210342,0.40997910499572754,,
7,0.0,0.0,0.12185385078191757,0.0,0.0,0.0,-0.02511647716164589,-0.00026136054657399654,0.21875,0.34375,0.11449539661407471,0.4047498106956482,,
8,0.0,0.0,0.13373875617980957,0.0,0.0,0.0,-0.020187322050333023,-0.0022451812401413918,0.328125,0.328125,0.12430072575807571,0.42276376485824585,,
9,0.0,0.0,0.14199800789356232,0.0,0.0,0.0,-0.01450304500758648,0.0006689771544188261,0.15625,0.28125,0.14322014153003693,0.45518943667411804,,
10,0.002813067752867937,0.0,0.14232096076011658,0.0,0.0,0.0625,-0.03552792966365814,-0.014666497707366943,0.30000001192092896,0.30000001192092896,0.14659002423286438,0.4716319441795349,0.6838843822479248,0.3689315617084503
11,0.0040278187952935696,0.0,0.1684803068637848,0.0,0.0,0.0625,-0.027450386434793472,-0.005507873371243477,0.28333333134651184,0.5166666507720947,0.17370040714740753,0.5123084187507629,0.31059470772743225,0.3685453534126282
12,0.005012566223740578,0.0,0.14212265610694885,0.0,0.0,0.0625,-0.04641198739409447,-0.010655066929757595,0.44999998807907104,0.44999998807907104,0.14781510829925537,0.4757637083530426,0.562584638595581,0.3818294405937195
13,0.00554739311337471,0.0,0.17472608387470245,0.0,0.0,0.0625,-0.04554560035467148,-0.009728572331368923,0.4333333373069763,0.4333333373069763,0.1817144900560379,0.5241050124168396,1.2215601205825806,0.4790288805961609
14,0.004601712338626385,0.0,0.1486402153968811,0.0,0.0,0.0625,-0.04956091195344925,-0.01371921505779028,0.4333333373069763,0.4333333373069763,0.15654374659061432,0.48848697543144226,1.071528673171997,0.45773544907569885
15,0.004117406904697418,0.0,0.15145784616470337,0.0,0.0,0.0625,-0.04879945516586304,-0.00893379095941782,0.4166666567325592,0.4166666567325592,0.15633411705493927,0.4881616234779358,0.750992476940155,0.4399277865886688
16,0.007374913897365332,0.0,0.1429237276315689,0.0,0.0,0.0625,-0.0507427379488945,-0.005441371817141771,0.4333333373069763,0.699999988079071,0.1519317924976349,0.4869985580444336,0.7206948399543762,0.3852674067020416
17,0.0029241538140922785,0.0,0.15761545300483704,0.0,0.0,0.0625,-0.04884463548660278,0.0009989440441131592,0.550000011920929,0.550000011920929,0.17292159795761108,0.5210968852043152,0.7310130000114441,0.4075974225997925
18,0.0036962309386581182,0.0,0.1342996209859848,0.0,0.0,0.0625,-0.03750715032219887,-0.012189794331789017,0.3333333432674408,0.3333333432674408,0.13990533351898193,0.4691027104854584,1.1757780313491821,0.4679092764854431
19,0.006730786059051752,0.0,0.18359601497650146,0.0,0.0,0.0625,-0.06186656653881073,-0.005254099611192942,0.5833333134651184,0.7166666388511658,0.20349925756454468,0.5621641278266907,0.609762966632843,0.49975642561912537
20,0.008829026482999325,0.0,0.1602686643600464,0.0,0.0,0.0625,-0.04480282962322235,-0.01177030149847269,0.4000000059604645,0.5333333611488342,0.18110759556293488,0.5346179604530334,1.0923223495483398,0.4948543906211853
21,0.005333450622856617,0.0,0.15262286365032196,0.0,0.0,0.0625,-0.03621286898851395,-0.007324759848415852,0.3333333432674408,0.3333333432674408,0.18192753195762634,0.5464481711387634,0.8436357975006104,0.5434815287590027
22,0.00876865815371275,0.0,0.1895628571510315,0.0,0.0,0.0625,-0.05446946620941162,-0.006537450477480888,0.4333333373069763,0.5666666626930237,0.20842960476875305,0.5729599595069885,0.8214877247810364,0.524766743183136
23,0.007688443176448345,0.0,0.170660600066185,0.0,0.0,0.0625,-0.034487754106521606,-0.013794760219752789,0.38333332538604736,0.5166666507720947,0.18328946828842163,0.5390498638153076,0.8873687386512756,0.5317676663398743
24,0.004859072621911764,0.0,0.14095830917358398,0.0,0.0,0.0625,-0.03518155589699745,-0.009000699035823345,0.28333333134651184,0.28333333134651184,0.16386575996875763,0.5125038623809814,1.1618554592132568,0.47248151898384094
25,0.00463993800804019,0.0,0.1296466588973999,0.0,0.0,0.0625,-0.02563237026333809,-0.010544405318796635,0.2666666805744171,0.38333332538604736,0.14081048965454102,0.4781724214553833,1.0514472723007202,0.5254846215248108
26,0.007379696238785982,0.0,0.1392107456922531,0.0,0.0,0.0625,-0.03097333014011383,-0.00749038252979517,0.4166666567325592,0.4166666567325592,0.15474314987659454,0.504654049873352,0.9960734248161316,0.5537781119346619
27,0.004169038496911526,0.0,0.14340393245220184,0.0,0.0,0.0625,-0.05503341183066368,-0.001340398215688765,0.5166666507720947,0.6333333253860474,0.16483712196350098,0.5206273794174194,0.34092292189598083,0.5258522629737854
28,0.0035452418960630894,0.0,0.10797547549009323,0.0,0.0,0.0625,-0.033129606395959854,-0.011574373580515385,0.4166666567325592,0.4166666567325592,0.11864577233791351,0.43719983100891113,1.0254650115966797,0.4645596444606781
29,0.0045666503719985485,0.0,0.1313169300556183,0.0,0.0,0.0625,-0.03645557910203934,-0.007183297537267208,0.3333333432674408,0.46666666865348816,0.15102896094322205,0.4914771616458893,0.8790056109428406,0.4721602201461792
30,0.004054776858538389,0.0,0.12231099605560303,0.0,0.0,0.0625,-0.03673955425620079,-0.011269967071712017,0.4333333373069763,0.5666666626930237,0.1410822868347168,0.47830715775489807,1.0743755102157593,0.5153582096099854
