_step,n_tasks,gap_mean,gap_std,gap_p50,gap_p90,gap_max,frac_gap_gt_0_5,frac_gap_gt_0_7
1,8.0,0.5535714285714286,0.24156695104408366,0.5,0.9,1.0,0.5,0.25
2,8.0,0.8214285714285714,0.1855768722395226,0.8571428571428572,1.0,1.0,1.0,0.75
3,8.0,0.6964285714285715,0.33071891388307384,0.7857142857142858,1.0,1.0,0.75,0.625
4,8.0,0.6785714285714286,0.15567496226930982,0.6428571428571428,0.8571428571428572,0.8571428571428572,0.875,0.5
5,8.0,0.75,0.22303564279994278,0.8571428571428572,1.0,1.0,0.75,0.625
6,7.0,0.5306122448979591,0.28278380531736774,0.5714285714285714,0.8285714285714287,1.0,0.5714285714285714,0.42857142857142855
7,8.0,0.6071428571428572,0.3331206804674577,0.6428571428571428,1.0,1.0,0.625,0.5
8,8.0,0.8392857142857144,0.13243211584099399,0.8571428571428572,1.0,1.0,1.0,0.875
9,8.0,0.625,0.34947117483537365,0.7142857142857143,1.0,1.0,0.75,0.625
10,8.0,0.5178571428571428,0.397296347522982,0.5,1.0,1.0,0.5,0.5
11,8.0,0.7678571428571428,0.22517000380211594,0.8571428571428572,1.0,1.0,0.875,0.75
12,8.0,0.75,0.2834733547569204,0.8571428571428572,1.0,1.0,0.75,0.75
13,8.0,0.4464285714285715,0.23076514255928723,0.4285714285714286,0.7571428571428571,0.8571428571428572,0.25,0.25
14,8.0,0.6607142857142857,0.4221996577691746,0.9285714285714286,1.0,1.0,0.625,0.625
15,8.0,0.6428571428571429,0.29450754468697576,0.7857142857142858,0.8571428571428572,0.8571428571428572,0.75,0.75
16,8.0,0.4285714285714286,0.31134992453861954,0.42857142857142855,0.7571428571428571,0.8571428571428572,0.5,0.375
17,8.0,0.5357142857142857,0.26486423168198797,0.5714285714285714,0.7999999999999999,1.0,0.625,0.375
18,7.0,0.6530612244897959,0.29433071636440733,0.7142857142857143,0.9142857142857144,1.0,0.8571428571428571,0.7142857142857143
19,8.0,0.5714285714285714,0.3273268353539886,0.5714285714285714,1.0,1.0,0.5,0.5
20,8.0,0.5714285714285714,0.2672612419124244,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.625,0.625
21,8.0,0.5892857142857143,0.21943224513293763,0.5714285714285714,0.9,1.0,0.625,0.25
22,7.0,0.5714285714285715,0.2857142857142857,0.5714285714285714,0.9142857142857144,1.0,0.5714285714285714,0.42857142857142855
23,8.0,0.6428571428571428,0.3425593945223371,0.7142857142857143,1.0,1.0,0.625,0.625
24,8.0,0.5535714285714286,0.29827309086589404,0.6428571428571428,0.8571428571428572,0.8571428571428572,0.625,0.5
25,7.0,0.5510204081632653,0.24659277497131782,0.5714285714285714,0.8571428571428572,0.8571428571428572,0.7142857142857143,0.2857142857142857
26,7.0,0.5102040816326531,0.340272081643532,0.4285714285714286,1.0,1.0,0.42857142857142855,0.2857142857142857
27,8.0,0.4107142857142857,0.338344559312436,0.42857142857142855,0.7999999999999999,1.0,0.5,0.25
28,8.0,0.4285714285714286,0.14285714285714285,0.4285714285714286,0.5714285714285714,0.5714285714285714,0.375,0.0
29,8.0,0.3571428571428571,0.30304576336566325,0.2857142857142857,0.7571428571428571,0.8571428571428572,0.375,0.25
30,8.0,0.35714285714285715,0.32732683535398854,0.2142857142857143,0.7571428571428571,0.8571428571428572,0.375,0.375
31,7.0,0.653061224489796,0.3135161529742289,0.7142857142857143,0.9142857142857144,1.0,0.7142857142857143,0.7142857142857143
32,8.0,0.5892857142857142,0.3229132378575915,0.5714285714285714,1.0,1.0,0.5,0.5
33,8.0,0.4464285714285714,0.30670650066638694,0.5,0.7571428571428571,0.8571428571428572,0.5,0.375
34,8.0,0.5535714285714286,0.21943224513293766,0.5,0.8571428571428572,0.8571428571428572,0.5,0.375
35,8.0,0.4821428571428572,0.326839378887913,0.42857142857142855,0.8571428571428572,0.8571428571428572,0.5,0.375
36,7.0,0.38775510204081637,0.3475384972638041,0.4285714285714286,0.8285714285714287,1.0,0.2857142857142857,0.2857142857142857
37,8.0,0.32142857142857145,0.2743266338524503,0.35714285714285715,0.6142857142857142,0.7142857142857143,0.375,0.125
38,7.0,0.44897959183673475,0.2999375195244708,0.4285714285714286,0.8285714285714287,1.0,0.2857142857142857,0.2857142857142857
39,7.0,0.4693877551020408,0.237998036524298,0.4285714285714286,0.7714285714285715,0.8571428571428572,0.42857142857142855,0.2857142857142857
40,8.0,0.3928571428571429,0.25505101530510177,0.35714285714285715,0.7142857142857143,0.7142857142857143,0.5,0.25
41,8.0,0.4285714285714286,0.34255939452233714,0.2857142857142857,0.8571428571428572,0.8571428571428572,0.375,0.375
42,7.0,0.4693877551020408,0.21208785398802582,0.4285714285714286,0.7714285714285715,0.8571428571428572,0.2857142857142857,0.2857142857142857
43,8.0,0.3928571428571429,0.2834733547569204,0.35714285714285715,0.7571428571428571,0.8571428571428572,0.375,0.25
44,8.0,0.41071428571428575,0.23076514255928723,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.375,0.25
45,8.0,0.3035714285714286,0.24156695104408363,0.2857142857142857,0.6142857142857142,0.7142857142857143,0.25,0.125
46,8.0,0.4464285714285714,0.2714050741709047,0.5,0.7571428571428571,0.8571428571428572,0.5,0.25
47,8.0,0.39285714285714285,0.2923340275668732,0.35714285714285715,0.7571428571428571,0.8571428571428572,0.375,0.25
48,8.0,0.3928571428571429,0.25505101530510177,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.375,0.25
49,7.0,0.40816326530612246,0.2465927749713178,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.2857142857142857
50,8.0,0.1785714285714286,0.13832083379312204,0.1428571428571429,0.3285714285714285,0.4285714285714286,0.0,0.0
51,8.0,0.4107142857142857,0.20748125068968304,0.4285714285714286,0.6142857142857142,0.7142857142857143,0.375,0.125
52,8.0,0.35714285714285715,0.2766416675862441,0.35714285714285715,0.7142857142857143,0.7142857142857143,0.375,0.25
53,8.0,0.3035714285714286,0.30670650066638694,0.2142857142857143,0.5999999999999999,1.0,0.125,0.125
54,8.0,0.3035714285714286,0.11151782139997139,0.2857142857142857,0.4285714285714286,0.4285714285714286,0.0,0.0
55,8.0,0.5,0.41649656391752143,0.4285714285714286,1.0,1.0,0.375,0.375
56,8.0,0.5714285714285714,0.2672612419124244,0.7142857142857143,0.7571428571428571,0.8571428571428572,0.75,0.625
57,8.0,0.14285714285714288,0.10101525445522107,0.1428571428571429,0.2857142857142857,0.2857142857142857,0.0,0.0
58,7.0,0.34693877551020397,0.10406162272638338,0.2857142857142857,0.48571428571428577,0.5714285714285714,0.14285714285714285,0.0
59,8.0,0.5,0.24743582965269675,0.4285714285714286,0.7999999999999999,1.0,0.375,0.25
60,7.0,0.4693877551020408,0.3027019790651291,0.2857142857142857,0.9142857142857144,1.0,0.2857142857142857,0.2857142857142857
61,8.0,0.6071428571428571,0.3253726278265821,0.7142857142857143,0.9,1.0,0.625,0.5
62,8.0,0.5178571428571428,0.28515570397627343,0.4285714285714286,0.9,1.0,0.375,0.25
63,8.0,0.23214285714285715,0.14173667737846019,0.1428571428571429,0.37142857142857133,0.5714285714285714,0.125,0.0
64,8.0,0.3035714285714286,0.28959419178976525,0.2857142857142857,0.657142857142857,0.8571428571428572,0.25,0.125
65,8.0,0.375,0.27606472917393404,0.2142857142857143,0.7571428571428571,0.8571428571428572,0.375,0.25
66,8.0,0.5,0.3030457633656632,0.5,0.7999999999999999,1.0,0.5,0.375
67,8.0,0.4107142857142857,0.30670650066638694,0.35714285714285715,0.8571428571428572,0.8571428571428572,0.375,0.25
68,6.0,0.35714285714285715,0.2439750182371333,0.2857142857142857,0.6428571428571429,0.8571428571428572,0.16666666666666666,0.16666666666666666
69,8.0,0.39285714285714285,0.23419423301078576,0.35714285714285715,0.657142857142857,0.8571428571428572,0.25,0.125
70,8.0,0.5,0.31134992453861954,0.4285714285714286,0.9,1.0,0.375,0.375
71,8.0,0.30357142857142855,0.1665603402337288,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.25,0.0
72,8.0,0.17857142857142855,0.2550510153051018,0.0,0.5142857142857142,0.7142857142857143,0.125,0.125
73,8.0,0.48214285714285715,0.29396567202061297,0.4285714285714286,0.9,1.0,0.375,0.25
74,8.0,0.375,0.28515570397627343,0.2857142857142857,0.7,1.0,0.25,0.125
75,8.0,0.44642857142857145,0.28064702938395913,0.4285714285714286,0.7571428571428571,0.8571428571428572,0.375,0.375
76,8.0,0.4642857142857143,0.2923340275668732,0.4285714285714286,0.9,1.0,0.25,0.25
77,8.0,0.2857142857142857,0.2369017707396714,0.2142857142857143,0.5714285714285714,0.5714285714285714,0.375,0.0
78,8.0,0.39285714285714285,0.3480997980288916,0.35714285714285715,0.9,1.0,0.25,0.25
79,8.0,0.25,0.2923340275668732,0.1428571428571429,0.657142857142857,0.8571428571428572,0.25,0.125
80,7.0,0.4693877551020408,0.23799803652429796,0.4285714285714286,0.742857142857143,1.0,0.2857142857142857,0.14285714285714285
81,8.0,0.4285714285714286,0.335029697130245,0.4285714285714286,0.8571428571428572,0.8571428571428572,0.375,0.375
82,8.0,0.375,0.12242240357859006,0.4285714285714286,0.4714285714285714,0.5714285714285714,0.125,0.0
83,8.0,0.2857142857142857,0.23690177073967142,0.2857142857142857,0.4571428571428571,0.8571428571428572,0.125,0.125
84,8.0,0.35714285714285715,0.25753937681885636,0.35714285714285715,0.6142857142857142,0.7142857142857143,0.5,0.125
85,8.0,0.375,0.2569195458917528,0.42857142857142855,0.6142857142857142,0.7142857142857143,0.5,0.125
86,8.0,0.2857142857142857,0.1889822365046136,0.2857142857142857,0.4714285714285714,0.5714285714285714,0.125,0.0
87,8.0,0.3571428571428572,0.30304576336566325,0.2857142857142857,0.7571428571428571,0.8571428571428572,0.375,0.25
88,8.0,0.3571428571428572,0.2766416675862441,0.28571428571428575,0.657142857142857,0.8571428571428572,0.375,0.125
89,8.0,0.4821428571428572,0.28515570397627343,0.5,0.8571428571428572,0.8571428571428572,0.5,0.25
90,8.0,0.35714285714285715,0.31134992453861954,0.35714285714285715,0.7,1.0,0.25,0.125
91,8.0,0.3392857142857143,0.3637776569189886,0.2142857142857143,0.8571428571428572,0.8571428571428572,0.375,0.25
92,7.0,0.4693877551020408,0.2613520096911367,0.4285714285714286,0.7714285714285715,0.8571428571428572,0.42857142857142855,0.2857142857142857
93,8.0,0.39285714285714285,0.26486423168198797,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.375,0.25
94,8.0,0.26785714285714285,0.24156695104408363,0.2142857142857143,0.6142857142857142,0.7142857142857143,0.25,0.125
95,8.0,0.3035714285714286,0.24156695104408363,0.2857142857142857,0.6142857142857142,0.7142857142857143,0.25,0.125
96,8.0,0.35714285714285715,0.3711537444790451,0.28571428571428575,0.9,1.0,0.25,0.25
97,7.0,0.32653061224489793,0.0999791731748236,0.2857142857142857,0.4285714285714286,0.4285714285714286,0.0,0.0
98,8.0,0.3035714285714286,0.28064702938395913,0.2142857142857143,0.657142857142857,0.8571428571428572,0.25,0.125
99,8.0,0.3214285714285714,0.26486423168198797,0.2857142857142857,0.657142857142857,0.8571428571428572,0.25,0.125
100,8.0,0.375,0.1417366773784602,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.25,0.0
