_step,n_tasks,gap_mean,gap_std,gap_p50,gap_p90,gap_max,frac_gap_gt_0_5,frac_gap_gt_0_7
1,8.0,0.5714285714285714,0.24743582965269675,0.5,0.9,1.0,0.5,0.375
2,8.0,0.8392857142857143,0.18123020651950392,0.9285714285714286,1.0,1.0,1.0,0.75
3,8.0,0.7678571428571428,0.326839378887913,0.9285714285714286,1.0,1.0,0.75,0.75
4,8.0,0.6071428571428572,0.19884872724392938,0.6428571428571428,0.8571428571428572,0.8571428571428572,0.625,0.5
5,8.0,0.5357142857142857,0.32537262782658216,0.6428571428571428,0.8571428571428572,0.8571428571428572,0.625,0.5
6,7.0,0.5102040816326531,0.3226813938947326,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.5714285714285714,0.5714285714285714
7,8.0,0.7321428571428572,0.29827309086589404,0.7857142857142858,1.0,1.0,0.875,0.875
8,8.0,0.7678571428571428,0.21354037041252497,0.7857142857142858,1.0,1.0,0.875,0.625
9,8.0,0.625,0.326839378887913,0.7142857142857143,1.0,1.0,0.625,0.625
10,8.0,0.5535714285714286,0.338344559312436,0.5,1.0,1.0,0.5,0.375
11,8.0,0.7678571428571429,0.18813667415808463,0.7857142857142858,1.0,1.0,0.875,0.75
12,8.0,0.6428571428571429,0.29450754468697576,0.7857142857142858,0.8571428571428572,0.8571428571428572,0.75,0.75
13,8.0,0.5357142857142857,0.3331206804674577,0.6428571428571428,0.9,1.0,0.625,0.5
14,8.0,0.7321428571428572,0.3602543036041431,0.9285714285714286,1.0,1.0,0.75,0.75
15,8.0,0.5535714285714286,0.3458020844828051,0.6428571428571428,0.9,1.0,0.75,0.5
16,8.0,0.4642857142857143,0.36246041303900783,0.5,0.9,1.0,0.5,0.375
17,8.0,0.5535714285714286,0.33071891388307384,0.5714285714285714,1.0,1.0,0.625,0.375
18,7.0,0.6122448979591838,0.2613520096911367,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.5714285714285714,0.5714285714285714
19,8.0,0.5714285714285714,0.2857142857142857,0.6428571428571428,0.9,1.0,0.625,0.5
20,8.0,0.5714285714285714,0.3912303982179758,0.6428571428571429,1.0,1.0,0.5,0.5
21,8.0,0.6428571428571429,0.2575393768188564,0.6428571428571428,1.0,1.0,0.75,0.5
22,7.0,0.6326530612244899,0.25160873481506024,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.7142857142857143,0.5714285714285714
23,8.0,0.7142857142857144,0.27664166758624403,0.7857142857142858,1.0,1.0,0.75,0.75
24,8.0,0.625,0.31893876963378126,0.6428571428571428,1.0,1.0,0.625,0.5
25,7.0,0.7142857142857143,0.22908106449636376,0.7142857142857143,1.0,1.0,0.7142857142857143,0.5714285714285714
26,7.0,0.6122448979591838,0.3390458719558398,0.8571428571428572,0.9142857142857144,1.0,0.5714285714285714,0.5714285714285714
27,8.0,0.4642857142857143,0.36246041303900783,0.5,0.9,1.0,0.5,0.375
28,8.0,0.5535714285714286,0.19479843061849492,0.5,0.8571428571428572,0.8571428571428572,0.5,0.25
29,8.0,0.4285714285714286,0.3030457633656632,0.35714285714285715,0.7999999999999999,1.0,0.375,0.25
30,8.0,0.4642857142857143,0.3331206804674577,0.4285714285714286,0.9,1.0,0.375,0.25
31,7.0,0.673469387755102,0.30270197906512913,0.7142857142857143,0.9142857142857144,1.0,0.8571428571428571,0.7142857142857143
32,8.0,0.6785714285714286,0.2923340275668732,0.6428571428571429,1.0,1.0,0.5,0.5
