_step,luffy/tasks_with_partial_teacher,response_length/clip_ratio,val-aux/alfworld/reward/mean@3,val-core/alfworld/reward/best@94/std,training/epoch,critic/score/max,val-aux/alfworld/reward/worst@4/mean,val-aux/alfworld/reward/best@64/std,diag/teacher_token_ratio,val-aux/alfworld/reward/best@3/mean,diag/entropy_teacher_token_mean,global_seqlen/balanced_max,val-aux/alfworld/reward/best@32/std,val-aux/alfworld/reward/worst@64/mean,timing_s/step,prompt_length/max,critic/rewards_teacher/mean,val-aux/alfworld/reward/worst@16/mean,val-aux/alfworld/reward/best@16/std,critic/rewards_onpolicy/min,luffy/total_teacher_rollouts,timing_s/gen,perf/throughput,diag/adv_onpolicy_token_mean,val-aux/alfworld/reward/best@64/mean,critic/rewards_sum/max,val-aux/alfworld/reward/worst@32/mean,val-aux/alfworld/reward/worst@94/mean,val-core/alfworld/reward/mean@94,critic/returns/mean,perf/cpu_memory_used_gb,val-aux/alfworld/reward/worst@3/mean,val-aux/alfworld/reward/best@2/mean,diag/exp_token_ratio,global_seqlen/balanced_min,diag/entropy_onpolicy_token_std,timing_s/testing,perf/time_per_step,response_length/min,timing_s/update_actor,val-aux/alfworld/reward/std@2,actor/lr,diag/reward_onpolicy_mean,global_seqlen/min,val-aux/alfworld/reward/best@8/std,response_length/mean,val-aux/alfworld/reward/worst@2/std,val-aux/alfworld/reward/best@16/mean,diag/onpolicy_adv_pos_ratio,timing_s/adv,critic/score/mean,val-aux/alfworld/reward/best@4/mean,critic/rewards_last/max,prompt_length/clip_ratio,actor/on_pg_clipfrac_lower,actor/grad_norm,timing_per_token_ms/ref,val-aux/alfworld/reward/worst@64/std,val-aux/alfworld/reward/worst@4/std,prompt_length/mean,diag/teacher_adv_pos_ratio,critic/rewards_sum/min,timing_per_token_ms/adv,diag/entropy_onpolicy_token_mean,perf/mfu/actor,critic/rewards/max,global_seqlen/mean,val-aux/alfworld/reward/best@2/std,diag/group_gap_count,val-aux/alfworld/reward/worst@8/std,val-aux/alfworld/reward/worst@2/mean,actor/ppo_kl,val-aux/alfworld/reward/best@8/mean,luffy/tasks_with_full_teacher,diag/group_teacher_minus_on_reward_mean,timing_s/dump_rollout_generations,prompt_length/min,actor/kl_loss,val-aux/alfworld/reward/mean@2,diag/adv_onpolicy_sample_mean,actor/kl_coef,timing_s/old_log_prob,actor/off_pg_loss,actor/pg_loss,val-aux/alfworld/reward/best@32/mean,val-aux/alfworld/reward/best@4/std,critic/rewards/mean,val-aux/alfworld/reward/worst@32/std,actor/entropy_loss,critic/rewards_sum/mean,luffy/onpolicy_replaced_by_teacher,luffy/tasks_without_teacher,critic/advantages/max,global_seqlen/minmax_diff,critic/advantages/min,training/num_not_none_traj,perf/max_memory_reserved_gb,critic/rewards_onpolicy/count,timing_per_token_ms/update_actor,val-aux/alfworld/reward/worst@8/mean,val-aux/alfworld/reward/std@3,critic/rewards_teacher/count,perf/max_memory_allocated_gb,_timestamp,critic/rewards_last/min,val-aux/alfworld/reward/worst@16/std,val-aux/alfworld/reward/worst@94/std,actor/on_pg_loss,val-aux/alfworld/reward/best@3/std,diag/adv_teacher_token_mean,critic/rewards_teacher/max,critic/rewards_teacher/min,timing_s/ref,_runtime,diag/adv_teacher_sample_mean,val-aux/alfworld/reward/worst@3/std,critic/score/min,val-core/alfworld/reward/best@94/mean,diag/reward_teacher_mean,critic/rewards_onpolicy/max,diag/entropy_offpolicy_token_mean,training/num_term_traj,critic/returns/max,val-aux/alfworld/reward/std@94,luffy/total_onpolicy_kept,actor/on_pg_clipfrac,critic/rewards/min,critic/rewards_onpolicy/mean,perf/total_num_tokens,critic/returns/min,timing_per_token_ms/gen,response_length/max,diag/group_teacher_minus_on_reward_std,val-aux/alfworld/reward/mean@1,exp_mask_ratio,critic/rewards_last/mean,timing_s/reward,critic/advantages/mean,global_seqlen/max,training/global_step
1,0,0.015625,,,0,1,,,0.0070708030834794044,,0.27703946828842163,81788,,,298.5707447528839,558,1,,,0,8,266.0883696526289,273.9099574798849,-0.05319428816437721,,1,,,,-0.04469248652458191,283.92774963378906,,,0.0070708030834794044,81778,0.4173716604709625,,298.5707447528839,551,15.549714215099812,,1e-06,0.4464285671710968,48051,,4759.890625,,,0.3214285671710968,0.09990987926721573,0.515625,,1,0.109375,0,3.7277350425720215,0.01876574663165062,,,351.453125,0.875,0,0.00030541711532319576,0.12515787780284882,0.20021930875294686,1,81781.5,,8,,,0,,8,0.5535714285714286,0.15142957866191864,275,0.002441606717184186,,-0.02886308543384075,0.001,10.51706813275814,-0.18178601562976837,0.12423527613282204,,,0.515625,,0.12623180449008942,0.515625,8,0,2.4748666286468506,91829,-1.20761239528656,64,67.9453125,56,0.0475343268804675,,,8,55.27681827545166,1767998989.477244,0,,,0.3060212917625904,,1.1491860151290894,1,1,6.138763632625341,452.263765755,0.12405477464199066,,0,,1,1,0.27703946828842163,29,2.4748666286468506,,56,0,0,0.4464285671710968,327126,-1.20761239528656,0.8734719142464175,10571,0.2895941917897653,,0.0030241934582591057,0.515625,0.0028710253536701202,-0.04469248652458191,139880,1
2,0,0.015625,,,0,1,,,0.012331652455031872,,0.3222615420818329,75550,,,147.92675294354558,296,1,,,0,8,135.19252609834075,510.71390736760145,-0.07149884849786758,,1,,,,-0.04727376252412796,284.5785026550293,,,0.012331652455031872,75547,0.4836885929107666,,147.92675294354558,912,8.500176046043634,,1e-06,0.1428571492433548,70843,,4428.390625,,,0.1428571492433548,0.08078287914395332,0.25,,1,0.875,0,2.005535840988159,0.006344933511945022,,,293.375,1.0,0,0.00026732213897725403,0.16868582367897034,0.23214710593833868,1,75548.25,,8,,,0,,8,0.8571428571428572,0.1363944336771965,275,0.0027738322969526052,,-0.054407235234975815,0.001,2.087575774639845,-0.14061741530895233,-0.009001614525914192,,,0.25,,0.1705796718597412,0.25,8,0,2.4748666286468506,9490,-1.20761239528656,64,90.837890625,56,0.028128302263929456,,,8,55.27681827545166,1767999137.4185028,0,,,0.13161580078303814,,1.8929648399353027,1,1,1.9173944927752018,730.93207283,0.3203068971633911,,0,,1,1,0.3222615420818329,11,2.4748666286468506,,56,0,0,0.1428571492433548,302193,-1.20761239528656,0.4770092340909005,5922,0.1749635530559413,,0.008782465942203999,0.25,0.0010282918810844421,-0.04727376252412796,80333,2
3,0,0.015625,,,0,1,,,0.013578326441347599,,0.36895668506622314,86091,,,278.65528916567564,504,1,,,0,8,262.0886913277209,308.9211055628637,-0.05607611685991287,,1,,,,-0.02893282286822796,285.3157730102539,,,0.013578326441347599,86067,0.43537795543670654,,278.65528916567564,574,10.934853374958038,,1e-06,0.2678571343421936,60458,,5033.296875,,,0.2678571343421936,0.0847802571952343,0.359375,,1,0.109375,0,1.582664132118225,0.00749430655558934,,,346.859375,1.0,0,0.00024621803849572883,0.13404588401317596,0.21162312481532514,1,86082.5,,8,,,0,,8,0.7321428571428572,0.15805000811815262,275,0.019243432208895683,,-0.03641077131032944,0.001,2.7907325476408005,-0.23488499224185944,-0.06511066667735577,,,0.359375,,0.1372355818748474,0.359375,8,0,2.4748666286468506,45412,-2.4748666286468506,64,95.111328125,56,0.031756899994069755,,,8,59.672006130218506,1767999416.086998,0,,,0.16977432556450367,,1.9429398775100708,1,1,2.5805145762860775,973.705266524,0.24226252734661102,,0,,1,1,0.36895668506622314,18,2.4748666286468506,,56,0,0,0.2678571343421936,344330,-2.4748666286468506,0.8136090327466803,9541,0.31491414443836424,,0.006803757976740599,0.359375,0.0015613622963428497,-0.02893282286822796,105870,3
4,0,0.015625,,,0,1,,,0.008501376025378704,,0.2851159870624542,98333,,,242.75808522850275,467,1,,,0,8,225.54726777598262,405.0585994177825,-0.047542545944452286,,1,,,,-0.032186880707740784,285.60721588134766,,,0.008501376025378704,98330,0.39640212059020996,,242.75808522850275,1743,11.323071002960205,,1e-06,0.1607142835855484,76025,,5785.828125,,,0.1607142835855484,0.08667585998773575,0.265625,,1,0.21875,0,1.828233242034912,0.006899365589713093,,,359.875,1.0,0,0.00022036702469391915,0.1138080358505249,0.24085493591225718,1,98331.25,,8,,,0,,8,0.8392857142857144,0.1642153114080429,275,0.008324569091200829,,-0.035621527582407,0.001,2.9050312750041485,-0.14061741530895233,0.014186810702085495,,,0.265625,,0.115264393389225,0.265625,8,0,2.4748666286468506,46298,-0.7245674133300781,64,95.111328125,56,0.028788078568512565,,,8,59.672006130218506,1767999658.8595881,0,,,0.15480422601103783,,1.7587133646011353,1,1,2.713692970573902,1211.693727466,0.21228346228599548,,0,,1,1,0.2851159870624542,13,2.4748666286468506,,56,0,0,0.1607142835855484,393325,-0.7245674133300781,0.6091048650014519,8972,0.13243211584099396,,0.0052110920660197735,0.265625,0.0030463486909866333,-0.032186880707740784,122323,4
5,0,0.015625,,,0,1,,,0.011344908736646175,,0.33174896240234375,74093,,,237.9806029126048,321,1,,,0,8,223.97753143310547,311.3068842304208,-0.07184857875108719,,1,,,,-0.055331602692604065,285.7132110595703,,,0.011344908736646175,74078,0.4752013087272644,,237.9806029126048,501,9.227667052298784,,1e-06,0.3392857015132904,49624,,4332.890625,,,0.3392857015132904,0.07711023837327957,0.421875,,1,0.109375,0,4.985069751739502,0.007291985696434709,,,297.421875,1.0,0,0.0002602086737304433,0.160162553191185,0.21165543893865263,1,74085.0,,8,,,0,,8,0.6607142857142858,0.13303758949041367,275,0.003356096101924777,,-0.03296191617846489,0.001,2.391487594693899,-0.24937264248728752,-0.13009908981621265,,,0.421875,,0.16210918128490448,0.421875,8,0,2.4748666286468506,42963,-2.4748666286468506,64,95.111328125,56,0.03113878333096708,,,8,59.672006130218506,1767999896.8487084,0,,,0.11927355267107487,,1.3840445280075073,1,1,2.1609070412814617,1542.664160409,0.17189061641693115,,0,,1,1,0.33174896240234375,21,2.4748666286468506,,56,0,0,0.3392857015132904,296340,-2.4748666286468506,0.8076938080204304,7404,0.2569195458917528,,0.006363268475979567,0.421875,0.0010502487421035767,-0.055331602692604065,92587,5
6,0,0.015625,,,0,1,,,0.004213016014546156,,0.24769963324069977,101134,,,330.9577167071402,707,1,,,0,7,310.76102513074875,305.55942615922163,-0.04224793612957001,,1,,,,-0.035634640604257584,286.4451713562012,,,0.004213016014546156,101122,0.3840627372264862,,330.9577167071402,763,13.353245601058006,,1e-06,0.35087719559669495,59231,,5919.15625,,,0.22807016968727112,0.10228591412305832,0.421875,,1,0.125,0,2.9273955821990967,0.0077522407559943544,,,401.296875,0.8571428656578064,0,0.0002528643716779066,0.10521075129508972,0.22489522270327128,1,101127.25,,7,,,0,,7,0.5918367346938774,0.18821686506271362,275,0.00512105505913496,,-0.030358808115124702,0.001,3.3980608582496643,0.0,0.2803844939917326,,,0.421875,,0.10581105202436447,0.421875,7,1,2.4748666286468506,62367,-2.4748666286468506,64,95.111328125,57,0.033010997532954785,,,7,65.25003099441528,1768000227.8191,0,,,0.2803844939917326,,1.5274819135665894,1,1,3.1358511559665203,1914.074817026,0.13193513453006744,,0,,1,1,0.24769963324069977,22,2.4748666286468506,,57,0,0,0.35087719559669495,404509,-2.4748666286468506,0.8203265486813174,13176,0.4071415784338776,,0.001796261640265584,0.421875,0.0026235096156597137,-0.035634640604257584,121598,6
7,0,0.015625,,,0,1,,,0.0048764715902507305,,0.24748267233371735,110973,,,371.39698810875416,546,1,,,0,8,351.0704366080463,298.7806943859931,-0.03970803692936897,,1,,,,-0.03160369396209717,286.8715286254883,,,0.0048764715902507305,110950,0.36437633633613586,,371.39698810875416,778,13.391016826033592,,1e-06,0.3035714328289032,63815,,6523.671875,,,0.3035714328289032,0.09529929235577583,0.390625,,1,0.109375,0,2.5969505310058594,0.007080399222170009,,,411.71875,1.0,0,0.0002147033272634153,0.09486737847328186,0.2410650245996368,1,110966.25,,8,,,0,,8,0.6964285714285714,0.17799175530672073,275,0.032144695520401,,-0.025496795773506165,0.001,3.503544334322214,-0.4832227732986212,-0.05205085314810276,,,0.390625,,0.09561159461736679,0.390625,8,0,2.4748666286468506,90645,-1.6201815605163574,64,95.111328125,56,0.03016912084988362,,,8,65.25003099441528,1768000599.2297158,0,,,0.4311719201505184,,1.6222196817398071,1,1,3.1427414007484913,2255.956657531,0.12731166183948517,,0,,1,1,0.24748267233371735,20,2.4748666286468506,,56,0,0,0.3035714328289032,443865,-1.6201815605163574,0.8408570628792889,10566,0.29827309086589404,,0.0028628960717469454,0.390625,0.00233299657702446,-0.03160369396209717,154460,7
8,0,0.015625,,,0,1,,,0.006758052855730057,,0.23567520081996918,111673,,,341.8701604530215,548,1,,,0,8,320.8938543982804,326.61888318078013,-0.044566161930561066,,1,,,,-0.0331265889108181,287.1251640319824,,,0.006758052855730057,111654,0.3977060914039612,,341.8701604530215,595,13.872401181608438,,1e-06,0.1964285671710968,90051,,6598.609375,,,0.1964285671710968,0.09541445598006248,0.296875,,1,0.109375,0,2.2553887367248535,0.007261058107557441,,,380.21875,1.0,0,0.0002136248160845022,0.10916606336832047,0.2324656735206309,1,111661.25,,8,,,0,,8,0.8035714285714286,0.18815811350941658,275,0.03100145421922207,,-0.03693610429763794,0.001,3.5596027858555317,-0.06861434876918793,0.025559116154909134,,,0.296875,,0.11002101749181747,0.296875,8,0,2.4748666286468506,41289,-1.6201815605163574,64,95.111328125,56,0.031059121184852486,,,8,65.25003099441528,1768000941.1115263,0,,,0.09417346492409706,,1.6481658220291138,1,1,3.243115298449993,2551.848633388,0.17080412805080414,,0,,1,1,0.23567520081996918,12,2.4748666286468506,,56,0,0,0.1964285671710968,446645,-1.6201815605163574,0.7598519915377066,10831,0.236227795630767,,0.003918951377272606,0.296875,0.0022030510008335114,-0.0331265889108181,131340,8
9,0,0.015625,,,0,1,,,0.010074082762002945,,0.2747832238674164,82259,,,295.8728453852236,469,1,,,0,8,279.6007216833532,278.011318993818,-0.044198907911777496,,1,,,,-0.029164696112275124,287.3921318054199,,,0.010074082762002945,82250,0.4205225110054016,,295.8728453852236,512,10.756081469357014,,1e-06,0.4107142984867096,28292,,4800.375,,,0.1607142835855484,0.09251856431365013,0.484375,,1,0.109375,0,1.3755947351455688,0.0075948393569077715,,,340.625,0.75,0,0.00028119092927461256,0.12407824397087097,0.21113544229551134,1,82256.0,,8,,,0,,8,0.5892857142857142,0.15066885575652122,275,0.041893120855093,,-0.027842385694384575,0.001,2.758703615516424,-0.28123484551906586,0.025341175496578217,,,0.484375,,0.12559646368026733,0.484375,8,0,2.4748666286468506,79810,-1.6201815605163574,64,95.48046875,56,0.0326908720013039,,,8,65.25003099441528,1768001237.0035264,0,,,0.3065760210156441,,1.4481661319732666,1,1,2.4988844245672226,2858.087341067,0.1525973677635193,,0,,1,1,0.2747832238674164,25,2.4748666286468506,,56,0,0,0.4107142984867096,329024,-1.6201815605163574,0.9100874986438338,9730,0.41303691093644207,,0.0047415802255272865,0.484375,0.0013916939496994019,-0.029164696112275124,108102,9
10,0,0.015625,,,0,1,,,0.00673370948061347,,0.3269706070423126,85274,,,306.21981190517545,697,1,,,0,8,287.2207366414368,278.35070327322416,-0.043397437781095505,,1,,,,-0.031422968953847885,287.7001304626465,,,0.00673370948061347,85133,0.42981722950935364,,306.21981190517545,618,12.19586282223463,,1e-06,0.4107142984867096,33494,,4951.765625,,,0.2857142984867096,0.11098157986998558,0.484375,,1,0.109375,0,1.5221242904663086,0.008427935461382392,,,375.515625,0.875,0,0.0003255107256573932,0.12409818917512894,0.19703545460197347,1,85236.5,,8,,,0,,8,0.5892857142857143,0.18427540734410286,275,0.19720077514648438,,-0.02267671935260296,0.001,3.5993671528995037,-0.2858216315507889,-0.1610672790557146,,,0.484375,,0.1254642754793167,0.484375,8,0,2.4748666286468506,116067,-2.4748666286468506,64,95.48046875,56,0.03577065817529647,,,8,65.72398376464844,1768001543.2422788,0,,,0.12475435249507427,,1.734889030456543,1,1,2.8734708838164806,3059.329498573,0.15840180218219757,,0,,1,1,0.3269706070423126,27,2.4748666286468506,,56,0,0,0.4107142984867096,340946,-2.4748666286468506,0.9063078404528587,13663,0.4068137767819471,,0.0023219881113618612,0.484375,0.005266569554805756,-0.031422968953847885,149561,10
