_step,val-core/alfworld/reward/best@94/std,timing_s/step,critic/rewards/min,val-aux/alfworld/reward/worst@4/std,actor/kl_coef,training/num_not_none_traj,training/global_step,val-aux/alfworld/reward/best@16/std,actor/entropy_loss,timing_s/gen,critic/returns/mean,val-aux/alfworld/reward/worst@16/std,actor/kl_loss,exp_mask_ratio,_timestamp,perf/throughput,critic/rewards_sum/max,val-aux/alfworld/reward/worst@32/mean,critic/score/max,perf/max_memory_allocated_gb,val-aux/alfworld/reward/best@3/mean,val-aux/alfworld/reward/worst@32/std,val-aux/alfworld/reward/worst@64/mean,critic/advantages/min,global_seqlen/min,val-aux/alfworld/reward/best@2/std,critic/rewards_sum/mean,val-aux/alfworld/reward/worst@64/std,val-aux/alfworld/reward/worst@3/mean,val-aux/alfworld/reward/worst@3/std,val-aux/alfworld/reward/mean@3,perf/max_memory_reserved_gb,val-aux/alfworld/reward/best@4/std,prompt_length/mean,actor/on_pg_clipfrac_lower,response_length/clip_ratio,val-aux/alfworld/reward/std@2,_runtime,timing_per_token_ms/ref,timing_s/dump_rollout_generations,timing_s/old_log_prob,critic/score/min,actor/grad_norm,global_seqlen/max,perf/cpu_memory_used_gb,val-aux/alfworld/reward/mean@2,val-aux/alfworld/reward/best@32/mean,val-aux/alfworld/reward/best@4/mean,perf/total_num_tokens,val-aux/alfworld/reward/worst@94/std,val-aux/alfworld/reward/best@32/std,actor/ppo_kl,response_length/mean,perf/mfu/actor,perf/time_per_step,val-aux/alfworld/reward/worst@16/mean,val-aux/alfworld/reward/best@3/std,val-aux/alfworld/reward/best@64/mean,prompt_length/clip_ratio,actor/lr,critic/rewards_last/min,critic/rewards_last/mean,global_seqlen/minmax_diff,training/epoch,val-aux/alfworld/reward/worst@94/mean,prompt_length/max,val-aux/alfworld/reward/best@8/mean,val-core/alfworld/reward/mean@94,val-aux/alfworld/reward/best@8/std,val-aux/alfworld/reward/best@16/mean,val-aux/alfworld/reward/std@94,global_seqlen/balanced_min,timing_s/adv,timing_s/testing,val-aux/alfworld/reward/mean@1,timing_s/reward,timing_per_token_ms/gen,critic/advantages/mean,prompt_length/min,val-aux/alfworld/reward/std@3,val-aux/alfworld/reward/worst@2/mean,critic/rewards/mean,training/num_term_traj,actor/on_pg_clipfrac,global_seqlen/mean,val-aux/alfworld/reward/worst@4/mean,timing_s/ref,val-aux/alfworld/reward/best@64/std,timing_per_token_ms/adv,response_length/max,critic/rewards/max,critic/rewards_sum/min,critic/advantages/max,critic/rewards_last/max,critic/score/mean,val-aux/alfworld/reward/worst@8/std,val-aux/alfworld/reward/best@2/mean,val-aux/alfworld/reward/worst@8/mean,response_length/min,global_seqlen/balanced_max,timing_per_token_ms/update_actor,actor/pg_loss,critic/returns/max,val-aux/alfworld/reward/worst@2/std,val-core/alfworld/reward/best@94/mean,timing_s/update_actor,critic/returns/min
1,,382.44111803919077,0,,0.001,64,1,,0.10374356061220169,348.1912965886295,-0.03280450031161308,,0.002040051156654954,0,1767242040.4666522,287.2723272102284,1,,1,62.19846820831299,,,,-1.6201815605163574,79228,,0.453125,,,,,82.873046875,,434.0,0,0.015625,,620.712179519,0.014240103654024613,0.19880818203091621,10.007474329322577,0,4.502662181854248,143398,248.27017974853516,,,,439459,,,0,6432.546875,0.2345723701191678,382.44111803919077,,,,0.125,1e-06,0,0.453125,64170,0,,737,,,,,,109863,0.010555148124694824,,,0.00271499902009964,0.8457752605490862,-0.03280450031161308,296,,,0.453125,29,0,109864.75,,6.257941711694002,,2.401850485413844e-05,15245,1,0,2.4748666286468506,1,0.453125,,,,1379,109869,0.04039254588317952,-0.2117464691400528,2.4748666286468506,,,17.750867821276188,-1.6201815605163574
2,,232.83893240988255,0,,0.001,64,2,,0.14494165778160095,218.3461420238018,-0.022436870262026787,,0.004271904472261667,0,1767242273.315917,317.6348097568453,1,,1,62.19846820831299,,,,-1.20761239528656,61116,,0.4375,,,,,82.873046875,,322.75,0,0.015625,,799.649183952,0.007692727236702433,0.1243431456387043,2.4199954718351364,0,2.4121146202087402,85836,249.20911026000977,,,,295831,,,0,4299.609375,0.2075230150755523,232.83893240988255,,,,0.125,1e-06,0,0.4375,24720,0,,409,,,,,,73950,0.005758371204137802,,,0.0011265762150287628,0.7934810285229466,-0.022436870262026787,296,,,0.4375,28,0,73957.75,,2.2757471911609173,,1.9465070273696138e-05,8092,1,0,2.4748666286468506,1,0.4375,,,,528,73964,0.03263690922598299,0.006876800209283829,2.4748666286468506,,,9.655009493231773,-1.20761239528656
3,,178.92872676625848,0,,0.001,64,3,,0.1530771255493164,163.30233858153224,-0.0407087579369545,,0.003869352862238884,0,1767242452.2529144,470.11176751894425,1,,1,62.19846820831299,,,,-2.4748666286468506,71200,,0.375,,,,,82.873046875,,322.5,0,0.015625,,1058.943555103,0.00721976762601413,0.13142211735248566,2.6523916125297546,0,6.563695430755615,98124,249.65103149414062,,,,336466,,,0,4934.78125,0.2171427745322639,178.92872676625848,,,,0.125,1e-06,0,0.375,26924,0,,409,,,,,,84109,0.005690902471542358,,,0.0021050460636615753,0.5170642650748585,-0.0407087579369545,296,,,0.375,24,0,84116.5,,2.42920633405447,,1.6913751973579375e-05,8178,1,0,2.4748666286468506,1,0.375,,,,670,84133,0.030886593303055127,-0.1934784110635519,2.4748666286468506,,,10.392288502305746,-2.4748666286468506
4,,259.284275457263,0,,0.001,64,4,,0.13783183693885803,242.09345818683505,-0.037925053387880325,,0.005413070321083069,0,1767242711.5472887,351.607323040408,1,,1,62.19846820831299,,,,-1.6201815605163574,81562,,0.390625,,,,,82.873046875,,367.375,0,0.015625,,1271.936951216,0.00740395192287104,0.15155449137091637,2.9642046615481377,0,4.108371734619141,107625,249.75745010375977,,,,364665,,,0,5330.515625,0.21972034106836713,259.284275457263,,,,0.125,1e-06,0,0.390625,26063,0,,574,,,,,,91160,0.006725717335939407,,,0.002223048359155655,0.7096330918585944,-0.037925053387880325,296,,,0.390625,25,0,91166.25,,2.6999621279537678,,1.8443550480411904e-05,10594,1,0,2.4748666286468506,1,0.390625,,,,596,91171,0.031132131266171904,0.11687783524394035,2.4748666286468506,,,11.352798648178577,-1.6201815605163574
5,,212.98408398777246,0,,0.001,64,5,,0.17707449197769165,200.01074622943997,-0.07157374918460846,,0.006899972911924124,0,1767242924.5406792,286.5237573503543,1,,1,62.19846820831299,,,,-1.6201815605163574,39124,,0.53125,,,,,82.873046875,,324.25,0,0.015625,,1569.983807208,0.008394475240338196,0.12198563292622566,2.263301193714142,0,5.663419723510742,95250,249.66397857666016,,,,244100,,,0,3489.8125,0.19040563021022083,212.98408398777246,,,,0.125,1e-06,0,0.53125,56126,0,,420,,,,,,61024,0.006758574396371841,,,0.001093849539756775,0.89551169578165,-0.07157374918460846,296,,,0.53125,34,0,61025.0,,2.0490914061665535,,2.7687727965472517e-05,8070,1,0,1.6201815605163574,1,0.53125,,,,392,61028,0.0348871222032186,0.02662685140967369,1.6201815605163574,,,8.51594652980566,-1.6201815605163574
6,,298.0330330841243,0,,0.001,64,6,,0.11855284869670868,280.0457878150046,-0.018502408638596535,,0.005157222039997578,0,1767243222.5875113,340.9773035840477,1,,1,65.02839660644531,,,,-2.4748666286468506,52184,,0.34375,,,,,96.361328125,,395.625,0,0.015625,,1875.392793587,0.006859112034137494,0.17298414558172226,3.0539282001554966,0,1.8563380241394043,157666,250.72728729248047,,,,406490,,,0,5955.78125,0.24805312792587117,298.0330330841243,,,,0.125,1e-06,0,0.34375,105482,0,,737,,,,,,101612,0.009722720831632614,,,0.0024357661604881287,0.7347004953564147,-0.018502408638596535,296,,,0.34375,22,0,101622.5,,2.78816045075655,,2.3918720833557073e-05,13269,1,0,2.4748666286468506,1,0.34375,,,,963,101633,0.02937518268608807,0.1597246378660202,2.4748666286468506,,,11.94071801006794,-2.4748666286468506
7,,305.40009132400155,0,,0.001,64,7,,0.1344263255596161,286.77377626672387,-0.029316360130906105,,0.008620803244411945,0,1767243527.9965487,349.08879541524004,1,,1,65.02839660644531,,,,-1.6201815605163574,90582,,0.296875,,,,,96.66796875,,359.875,0,0.015625,,2149.429656647,0.006750423559990235,0.16524039581418037,3.229071516543627,0,4.966005325317383,120922,250.9178237915039,,,,426447,,,0,6303.359375,0.2441160279813797,305.40009132400155,,,,0.125,1e-06,0,0.296875,30340,0,,494,,,,,,106606,0.007833953946828842,,,0.0015624836087226868,0.7108654270830879,-0.029316360130906105,296,,,0.296875,19,0,106611.75,,2.8786978758871555,,1.8370287390528817e-05,11532,1,0,2.4748666286468506,1,0.296875,,,,1287,106619,0.028910528448103705,0.013037405908107758,2.4748666286468506,,,12.32880812510848,-1.6201815605163574
8,,274.02773435786366,0,,0.001,64,8,,0.13995499908924103,257.64379964768887,-0.017909789457917213,,0.07904871553182602,0,1767243802.033365,310.3673071607081,1,,1,65.02839660644531,,,,-2.4748666286468506,66813,,0.4375,,,,,96.66796875,,352.25,0,0.015625,,2475.682245164,0.0075783272715158456,0.15128501504659653,2.8471001610159874,0,1.8656110763549805,108924,251.21332168579102,,,,340197,,,0,4963.328125,0.22093800188286222,274.02773435786366,,,,0.125,1e-06,0,0.4375,42111,0,,467,,,,,,85042,0.006439175456762314,,,0.001851554960012436,0.811085680436479,-0.017909789457917213,296,,,0.4375,28,0,85049.25,,2.578124202787876,,1.8927784362479135e-05,9913,1,0,2.4748666286468506,1,0.4375,,,,563,85055,0.03169427567910109,0.31154117174446583,2.4748666286468506,,,10.782297503203154,-2.4748666286468506
9,,326.2389452531934,0,,0.001,64,9,,0.12547124922275543,305.0899423956871,-0.0305374413728714,,0.031445253640413284,0,1767244128.2859466,323.4646002122797,1,,1,65.02839660644531,,,,-2.4748666286468506,78861,,0.4375,,,,,96.66796875,,403.75,0,0.015625,,2742.775082731,0.00784896589869293,0.17758939415216446,3.7015130817890167,0,1.6922450065612793,157446,251.9509620666504,,,,422107,,,0,6191.671875,0.21807873990550058,326.2389452531934,,,,0.125,1e-06,0,0.4375,78585,0,,733,,,,,,105518,0.007645461708307266,,,0.001976892352104187,0.7699100414510598,-0.0305374413728714,296,,,0.4375,28,0,105526.75,,3.313103448599577,,1.811261530443055e-05,12957,1,0,1.6201815605163574,1,0.4375,,,,593,105542,0.033000808810998074,-0.16223307885229588,1.6201815605163574,,,13.929872404783964,-2.4748666286468506
10,,267.0801442079246,0,,0.001,64,10,,0.15976589918136597,249.4488940089941,-0.023684637621045113,,0.2635052800178528,0,1767244395.3788145,350.0952879792014,1,,1,65.04615640640259,,,,-2.4748666286468506,30835,,0.328125,,,,,96.66796875,,374.875,0,0.015625,,2936.524087404,0.007429670329148933,0.1645263396203518,2.9714848399162292,0,1.5717562437057495,131628,251.84249877929688,,,,374014,,,0,5469.09375,0.22826687521138578,267.0801442079246,,,,0.125,1e-06,0,0.328125,100793,0,,735,,,,,,93497,0.036114826798439026,,,0.0024262703955173492,0.7126663295706959,-0.023684637621045113,296,,,0.328125,21,0,93503.5,,2.778800718486309,,9.656009346826329e-05,13144,1,0,1.6201815605163574,1,0.328125,,,,541,93509,0.031176826926391146,-0.08960459940135479,1.6201815605163574,,,11.660569746047258,-2.4748666286468506
