_step,diag/group_gap_count,prompt_length/clip_ratio,critic/score/max,timing_per_token_ms/ref,critic/advantages/mean,actor/grad_norm,critic/rewards_sum/min,global_seqlen/min,critic/returns/max,val-core/alfworld/reward/mean@94,diag/adv_teacher_sample_mean,critic/returns/mean,val-aux/alfworld/reward/worst@64/std,critic/rewards_sum/mean,luffy/total_onpolicy_kept,critic/rewards_onpolicy/count,response_length/min,diag/adv_onpolicy_token_mean,actor/kl_coef,response_length/clip_ratio,exp_mask_ratio,val-aux/alfworld/reward/best@64/mean,timing_per_token_ms/gen,timing_s/update_actor,training/epoch,val-aux/alfworld/reward/best@16/mean,actor/on_pg_clipfrac,diag/group_teacher_minus_on_reward_mean,actor/kl_loss,global_seqlen/max,val-aux/alfworld/reward/best@64/std,global_seqlen/mean,timing_s/adv,val-aux/alfworld/reward/worst@94/std,critic/advantages/min,critic/rewards_onpolicy/min,luffy/tasks_with_full_teacher,actor/pg_loss,training/num_term_traj,critic/rewards_onpolicy/max,critic/rewards_teacher/mean,timing_s/reward,val-aux/alfworld/reward/worst@2/std,perf/cpu_memory_used_gb,val-aux/alfworld/reward/best@16/std,diag/adv_teacher_token_mean,val-aux/alfworld/reward/best@2/std,timing_s/gen,val-aux/alfworld/reward/worst@8/mean,_timestamp,diag/onpolicy_adv_pos_ratio,luffy/total_teacher_rollouts,perf/max_memory_reserved_gb,val-aux/alfworld/reward/std@2,critic/returns/min,diag/reward_teacher_mean,val-aux/alfworld/reward/worst@2/mean,val-aux/alfworld/reward/worst@32/mean,actor/lr,global_seqlen/balanced_min,actor/on_pg_loss,global_seqlen/minmax_diff,actor/on_pg_clipfrac_lower,val-aux/alfworld/reward/worst@94/mean,actor/ppo_kl,val-aux/alfworld/reward/std@3,val-aux/alfworld/reward/best@8/std,val-aux/alfworld/reward/worst@32/std,val-aux/alfworld/reward/mean@2,val-aux/alfworld/reward/worst@4/mean,val-aux/alfworld/reward/best@32/mean,timing_s/old_log_prob,val-aux/alfworld/reward/worst@3/std,val-aux/alfworld/reward/worst@16/mean,perf/throughput,perf/total_num_tokens,luffy/tasks_without_teacher,luffy/tasks_with_partial_teacher,timing_s/dump_rollout_generations,perf/max_memory_allocated_gb,training/global_step,diag/group_teacher_minus_on_reward_std,val-aux/alfworld/reward/best@2/mean,val-aux/alfworld/reward/worst@8/std,prompt_length/max,diag/reward_onpolicy_mean,diag/entropy_onpolicy_token_mean,diag/entropy_teacher_token_mean,prompt_length/mean,timing_per_token_ms/adv,diag/teacher_adv_pos_ratio,critic/score/mean,luffy/onpolicy_replaced_by_teacher,perf/time_per_step,diag/adv_onpolicy_sample_mean,timing_per_token_ms/update_actor,diag/entropy_offpolicy_token_mean,val-aux/alfworld/reward/best@4/mean,diag/teacher_token_ratio,timing_s/step,val-aux/alfworld/reward/worst@4/std,critic/advantages/max,val-aux/alfworld/reward/mean@3,val-core/alfworld/reward/best@94/mean,timing_s/testing,critic/rewards_onpolicy/mean,critic/rewards_teacher/min,critic/rewards_last/max,timing_s/ref,val-aux/alfworld/reward/best@3/mean,perf/mfu/actor,critic/score/min,critic/rewards/max,prompt_length/min,critic/rewards_sum/max,critic/rewards_teacher/count,diag/entropy_onpolicy_token_std,critic/rewards_last/min,diag/exp_token_ratio,critic/rewards_last/mean,global_seqlen/balanced_max,val-aux/alfworld/reward/best@32/std,critic/rewards_teacher/max,val-core/alfworld/reward/best@94/std,val-aux/alfworld/reward/best@4/std,response_length/mean,val-aux/alfworld/reward/std@94,val-aux/alfworld/reward/worst@16/std,val-aux/alfworld/reward/best@3/std,training/num_not_none_traj,val-aux/alfworld/reward/worst@3/mean,val-aux/alfworld/reward/best@8/mean,_runtime,val-aux/alfworld/reward/mean@1,critic/rewards/mean,critic/rewards/min,actor/entropy_loss,response_length/max,val-aux/alfworld/reward/worst@64/mean,actor/off_pg_loss
1,8,0.109375,1,0.018556779181505435,-0.05017324537038803,3.325960874557495,0,50042,2.4748666286468506,,0.14373339712619781,-0.05017324537038803,,0.5,56,56,550,-0.06071537733078003,0.001,0.015625,0.0031311053317040205,,0.87815668580892,15.271243024617434,0,,0,0.5714285714285714,0.01799057424068451,138751,,80414.25,0.09989306330680847,,-1.6201815605163574,0,8,0.09844312816858292,27,1,1,0.00229022279381752,,249.62934112548828,,1.4034563302993774,,262.71286675333977,,1767960864.7228944,0.4285714328289032,8,66.40234375,,-1.6201815605163574,1,,,1e-06,80409,0.19774272479116917,88709,0,,0,,,,,,,10.537599820643663,,,272.81243514109354,321657,0,0,0.14840607717633247,55.08720636367798,1,0.28571428571428575,,,558,0.4285714328289032,0.11420772224664688,0.27703943848609924,351.453125,0.00031055771615978657,1.0,0.5,8,294.76020753383636,-0.030931297689676285,0.04747679367965701,0.27703943848609924,,0.0072000641375780106,294.76020753383636,,2.4748666286468506,,,,0.4285714328289032,1,1,5.9689179211854935,,0.20106057692532714,0,1,275,1,8,0.3984183371067047,0,0.0072000641375780106,0.5,80419,,1,,,4674.4375,,,,64,,,447.836408393,,0.5,0,0.11538012325763702,10191,,-0.09929959662258625
2,8,0.875,1,0.0065255412887927225,-0.05147567391395569,2.019836902618408,0,72192,2.4748666286468506,,0.31404468417167664,-0.05147567391395569,,0.265625,56,56,1014,-0.07530872523784637,0.001,0.015625,0.0082243038341403,,0.48356805592183855,8.267023675143719,0,,0,0.8392857142857143,0.0028571486473083496,76337,,74414.75,0.08035321161150932,,-1.6201815605163574,0,8,-0.042323820292949677,11,1,1,0.0012130513787269592,,250.62059020996094,,1.826446294784546,,134.8589101396501,,1767961012.1056776,0.1607142835855484,8,78.607421875,,-1.6201815605163574,1,,,1e-06,74412,0.23384347558021545,4145,0,,0,,,,,,,2.0817562974989414,,,504.9396026052753,297659,0,0,0.13169730082154274,55.21868419647217,2,0.21943224513293766,,,296,0.1607142835855484,0.17283844947814941,0.3222137689590454,293.375,0.0002699505528524564,1.0,0.265625,8,147.3735662959516,-0.05518598109483719,0.027773471237703944,0.3222137689590454,,0.012532137334346771,147.3735662959516,,2.4748666286468506,,,,0.1607142835855484,1,1,1.942386094480753,,0.23444195639595417,0,1,275,1,8,0.48627012968063354,0,0.012532137334346771,0.265625,74416,,1,,,4357.546875,,,,64,,,725.715470919,,0.265625,0,0.1747104525566101,6344,,-0.27616729587316513
3,8,0.109375,1,0.0068578780606086106,-0.034446995705366135,1.628167986869812,0,70009,2.4748666286468506,,0.2563011646270752,-0.034446995705366135,,0.296875,56,56,574,-0.058553777635097504,0.001,0.015625,0.006203480996191502,,0.7447603331703133,11.378413036465645,0,,0,0.8035714285714286,0.0034574109595268965,111712,,93113.0,0.0949939675629139,,-0.935412585735321,0,8,0.06376846879720688,12,1,1,0.001475650817155838,,251.32082748413086,,1.8718236684799194,,260.85454097390175,,1767961289.9846911,0.1964285671710968,8,88.791015625,,-0.935412585735321,1,,,1e-06,93104,0.11691690981388092,41703,0,,0,,,,,,,2.78910119459033,,,335.09954682471425,372452,0,0,0.17741934582591057,61.56517791748047,3,0.18813667415808463,,,504,0.1964285671710968,0.1374366730451584,0.3688850998878479,346.859375,0.0002550502281177545,1.0,0.296875,8,277.86668433994055,-0.04113087058067322,0.03055001191150979,0.3688850998878479,,0.012488115578889847,277.86668433994055,,2.4748666286468506,,,,0.1964285671710968,1,1,2.554230399429798,,0.22664180120610697,0,1,275,1,8,0.4420739412307739,0,0.012488115578889847,0.296875,93128,,1,,,5472.703125,,,,64,,,1028.184192837,,0.296875,0,0.14032700657844543,10513,,-0.05314844101667404
4,8,0.21875,1,0.007198424689287285,-0.035268913954496384,2.0662341117858887,0,87173,2.4748666286468506,,0.1719309687614441,-0.035268913954496384,,0.359375,56,56,1638,-0.048837870359420776,0.001,0.015625,0.0050594015046954155,,0.7559451130163664,12.025735430419445,0,,0,0.7321428571428572,0.004861155059188604,121814,,99688.25,0.09415338560938835,,-1.20761239528656,0,8,-0.23228111490607262,16,1,1,0.0014581233263015747,,251.5520896911621,,1.570648431777954,,284.0244538076222,,1767961592.453436,0.2678571343421936,8,89.669921875,,-1.20761239528656,1,,,1e-06,99681,-0.05049508810043335,34641,0,,0,,,,,,,3.251199096441269,,,329.60106231150183,398753,0,0,0.17139657214283943,61.56517791748047,4,0.18123020651950394,,,467,0.2678571343421936,0.12066951394081116,0.287533164024353,359.875,0.00023611956677288535,1.0,0.359375,8,302.4512399956584,-0.03290184587240219,0.03015835725479042,0.287533164024353,,0.008378557860851288,302.4512399956584,,2.4748666286468506,,,,0.2678571343421936,1,1,2.8703934401273727,,0.22914754756211392,0,1,275,1,8,0.406629353761673,0,0.008378557860851288,0.359375,99693,,1,,,5870.640625,,,,64,,,1251.814333638,,0.359375,0,0.12206758558750153,9255,,-0.18178602680563927
5,8,0.109375,1,0.00736497774321586,-0.05192379653453827,3.5787971019744873,0,61019,2.4748666286468506,,0.1714089810848236,-0.05192379653453827,,0.46875,56,56,709,-0.06732279062271118,0.001,0.015625,0.0063069346360862255,,0.7499683871581392,10.752273604273796,0,,0,0.6071428571428572,0.02294958010315895,85997,,74046.75,0.09115824103355408,,-2.4748666286468506,0,8,0.05644744820892811,25,1,1,0.0010385289788246155,,251.88369750976562,,1.2892760038375854,,207.8552384376526,,1767961816.0835667,0.3928571343421936,8,89.669921875,,-2.4748666286468506,1,,,1e-06,74042,0.14850321598351002,24978,0,,0,,,,,,,2.587337952107191,,,331.1258703099425,296187,0,0,0.13906444981694221,61.56517791748047,5,0.26486423168198797,,,321,0.3928571343421936,0.16498076915740967,0.33482474088668823,297.421875,0.0003077725931035261,1.0,0.46875,8,223.6211563013494,-0.03310989588499069,0.03630231443065967,0.33482474088668823,,0.011351171880960464,223.6211563013494,,2.4748666286468506,,,,0.3928571343421936,1,1,2.181410662829876,,0.17906894179795954,0,1,275,1,8,0.48033300042152405,0,0.011351171880960464,0.46875,74053,,1,,,4330.5,,,,64,,,1558.605628863,,0.46875,0,0.16690869629383087,7473,,-0.09205576777458191
6,7,0.125,1,0.008088463627912464,-0.04468946531414986,3.106538772583008,0,65061,2.4748666286468506,,0.13608716428279877,-0.04468946531414986,,0.40625,57,57,649,-0.05149298533797264,0.001,0.015625,0.0017311697592958808,,0.7605660417820489,13.714626893401146,0,,0,0.6122448979591837,0.006818327121436596,119865,,100385.25,0.10754059255123138,,-1.6201815605163574,0,7,0.170370789244771,22,1,1,0.001768365502357483,,252.4366912841797,,1.5507371425628662,,285.8648313321173,,1767962122.8748589,0.21052631735801697,7,97.23046875,,-1.6201815605163574,1,,,1e-06,100378,0.20105604454874992,54804,0,,0,,,,,,,3.6349411197006702,,,327.2263625197562,401541,1,0,0.1890210136771202,65.9185700416565,6,0.3872176726736791,,,707,0.3333333432674408,0.11029502004384995,0.24729198217391968,401.296875,0.00026781970596086423,0.8571428656578064,0.40625,7,306.77616933733225,-0.03489840030670166,0.03415498515320016,0.24729198217391968,,0.00424628471955657,306.77616933733225,,2.4748666286468506,,,,0.3333333432674408,1,1,3.2478497736155987,,0.21616312623172665,0,1,275,1,7,0.39732056856155396,0,0.00424628471955657,0.40625,100394,,1,,,5872.78125,,,,64,,,1918.647736419,,0.40625,0,0.11087673902511597,13698,,-0.03068525530397892
7,8,0.109375,1,0.007045006406745491,-0.027445122599601746,1.163030743598938,0,75517,2.4748666286468506,,0.15168999135494232,-0.027445122599601746,,0.34375,56,56,814,-0.035593438893556595,0.001,0.015625,0.0028857493307441473,,0.7844767006977086,13.789271622896194,0,,0,0.75,0.0418965220451355,150694,,114688.5,0.09728671237826347,,-1.20761239528656,0,8,-0.020926732569932938,17,1,1,0.0014191493391990662,,252.90867614746094,,1.6949390172958374,,339.21086328849196,,1767962482.916987,0.125,8,97.23046875,,-1.20761239528656,1,,,1e-06,114688,0.2117464654147625,75177,0,,0,,,,,,,3.491000834852457,,,318.55383962808435,458754,0,0,0.19046903774142265,65.9185700416565,7,0.3331206804674577,,,546,0.25,0.10532116889953613,0.2470385879278183,411.71875,0.0002120672787120406,0.875,0.34375,8,360.02862226963043,-0.02846221998333931,0.030058095674143866,0.2470385879278183,,0.004708559717983007,360.02862226963043,,2.4748666286468506,,,,0.25,1,1,3.231924869120121,,0.240120438536691,0,1,275,1,8,0.38806435465812683,0,0.004708559717983007,0.34375,114690,,1,,,6756.3125,,,,64,,,2248.471810443,,0.34375,0,0.10598844289779663,10478,,-0.23267319798469543
8,8,0.109375,1,0.007888697773735348,-0.031528227031230927,1.478489875793457,0,104979,2.4748666286468506,,0.15884754061698914,-0.031528227031230927,,0.34375,56,56,1084,-0.04384961724281311,0.001,0.015625,0.003561516758054495,,0.7160913802884005,14.897529240697622,0,,0,0.75,0.03215780481696129,122023,,113330.25,0.10219058021903038,,-1.6201815605163574,0,8,-0.23222175426781178,16,1,1,0.0014860071241855621,,253.02099990844727,,1.808188557624817,,307.19389295578003,,1767962812.7410765,0.25,8,97.23046875,,-1.6201815605163574,1,,,1e-06,113324,0.04901307635009289,17044,0,,0,,,,,,,3.8257575556635857,,,343.6199174513106,453321,0,0,0.20017335191369057,65.9185700416565,8,0.25505101530510177,,,548,0.25,0.11737041920423508,0.23535437881946564,380.21875,0.00022542653046964597,1.0,0.34375,8,329.81280840933323,-0.03857814893126488,0.032863090923865475,0.23535437881946564,,0.006652882322669029,329.81280840933323,,2.4748666286468506,,,,0.25,1,1,3.576112363487482,,0.2165592457962819,0,1,275,1,8,0.4125446677207947,0,0.006652882322669029,0.34375,113335,,1,,,6702.921875,,,,64,,,2528.609443101,,0.34375,0,0.1181553527712822,11973,,-0.28123483061790466
9,8,0.109375,1,0.00796172344579928,-0.05016925558447838,3.596212387084961,0,32168,1.6201815605163574,,0.14781513810157776,-0.05016925558447838,,0.453125,56,56,509,-0.06358607113361359,0.001,0.015625,0.004954854026436806,,0.8632853991855166,10.681852243840694,0,,0,0.625,0.006280909292399883,118219,,81799.75,0.09770141541957855,,-2.4748666286468506,0,8,-0.13324525021016598,23,1,1,0.0012051351368427277,,253.43414688110352,,1.2603176832199097,,263.6464976258576,,1767963092.878675,0.375,8,97.23046875,,-2.4748666286468506,1,,,1e-06,81792,-0.09207664988934994,86051,0,,0,,,,,,,2.916242141276598,,,292.0080488196701,327199,0,0,0.1644856184720993,65.9185700416565,9,0.2760647291739341,,,469,0.375,0.1269865483045578,0.27378642559051514,340.625,0.0002985993704735606,1.0,0.453125,8,280.1284085512161,-0.02637488953769207,0.03264634746390024,0.27378642559051514,,0.01013428345322609,280.1284085512161,,1.6201815605163574,,,,0.375,1,1,2.605067949742079,,0.209814250846104,0,1,275,1,8,0.42327195405960083,0,0.01013428345322609,0.453125,81808,,1,,,4771.859375,,,,64,,,2819.515796363,,0.453125,0,0.12847426533699036,9291,,-0.04116860032081604
10,8,0.109375,1,0.00890387885058753,-0.03994687646627426,1.5670233964920044,0,36341,2.4748666286468506,,0.1673126518726349,-0.03994687646627426,,0.46875,56,56,618,-0.050177689641714096,0.001,0.015625,0.002311204792931676,,0.8354861583865544,13.28288970515132,0,,0,0.6071428571428572,0.027264539152383804,153492,,86984.5,0.10569582507014275,,-2.4748666286468506,0,8,0.17411734908819199,24,1,1,0.002486675977706909,,253.72250747680664,,1.5026863813400269,,270.6181441321969,,1767963383.7850037,0.2678571343421936,8,97.23046875,,-2.4748666286468506,1,,,1e-06,86155,0.3454200215637684,117151,0,,0,,,,,,,3.587321449071169,,,299.02868287220815,347938,0,0,0.17540670186281204,65.9185700416565,10,0.37627334831616926,,,697,0.3928571343421936,0.12943974137306213,0.33074942231178284,375.515625,0.00030377775658347965,0.875,0.46875,8,290.890155300498,-0.027488483116030693,0.03817602476634147,0.33074942231178284,,0.00658835144713521,290.890155300498,,2.4748666286468506,,,,0.3928571343421936,1,1,3.097997799515724,,0.1856236107451588,0,1,275,1,8,0.4343053996562958,0,0.00658835144713521,0.46875,87286,,1,,,5061.015625,,,,64,,,3091.730427958,,0.46875,0,0.13076603412628174,13730,,-0.1713026724755764
