_step,critic/rewards_onpolicy/mean,actor/entropy_loss,diag/teacher_token_ratio,diag/exp_token_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/entropy_onpolicy_token_mean,diag/entropy_teacher_token_mean,diag/group_teacher_minus_on_reward_mean,diag/adv_onpolicy_token_mean,diag/adv_teacher_token_mean,diag/onpolicy_adv_pos_ratio,diag/teacher_adv_pos_ratio,actor/off_pg_loss,actor/on_pg_loss
1,0.375,0.12640227377414703,0.00694157974794507,0.00694157974794507,0.375,1,0.12534932792186737,0.27703943848609924,0.625,-0.07194872200489044,1.4309035539627075,0.375,1.0,-0.28123483061790466,0.04802870936691761
2,0.125,0.16753807663917542,0.012434049509465694,0.012434049509465694,0.125,1,0.16558586061000824,0.32259097695350647,0.875,-0.06431929767131805,2.175199508666992,0.125,1.0,-0.28123481571674347,0.27682104147970676
3,0.1607142835855484,0.13497552275657654,0.012276929803192616,0.012276929803192616,0.1607142835855484,1,0.13205817341804504,0.36968857049942017,0.8392857142857144,-0.054600395262241364,1.8733538389205933,0.1607142835855484,1.0,-0.18411152809858322,0.28390892036259174
4,0.25,0.11625196039676666,0.008767385967075825,0.008767385967075825,0.25,1,0.11477368324995041,0.28338417410850525,0.75,-0.046179383993148804,1.5396196842193604,0.25,1.0,0.0,0.12310821190476418
5,0.3392857015132904,0.15455670654773712,0.011301667429506779,0.011301667429506779,0.3392857015132904,1,0.15250256657600403,0.33425575494766235,0.6607142857142858,-0.07148610800504684,1.3957017660140991,0.3392857015132904,1.0,-0.09205576777458191,0.19405417889356613
6,0.42105263471603394,0.09888023138046265,0.004434047732502222,0.004434047732502222,0.42105263471603394,1,0.09821498394012451,0.24824416637420654,0.5102040816326531,-0.024679210036993027,1.2527694702148438,0.05263157933950424,0.5714285969734192,-0.06861434131860733,0.17908409982919693
7,0.2857142984867096,0.09258288890123367,0.00497840903699398,0.00497840903699398,0.2857142984867096,1,0.09182697534561157,0.24366454780101776,0.7142857142857143,-0.0365554578602314,1.6732831001281738,0.1607142835855484,0.875,-0.21381855383515358,0.2541635986417532
8,0.1607142835855484,0.10029681771993637,0.006719373166561127,0.006719373166561127,0.1607142835855484,1,0.09940152615308762,0.23263907432556152,0.8392857142857143,-0.036428894847631454,1.7798672914505005,0.1607142835855484,1.0,-0.2778461202979088,0.04544961079955101
9,0.4464285671710968,0.12141039222478867,0.010313022881746292,0.010313022881746292,0.4464285671710968,1,0.1198776364326477,0.2685016691684723,0.5535714285714286,-0.053056344389915466,1.14768385887146,0.3214285671710968,0.875,0.0,-0.021146036684513092
10,0.5178571343421936,0.09579380601644516,0.006934222299605608,0.006934222299605608,0.5178571343421936,1,0.09422878921031952,0.319922536611557,0.4821428571428572,-0.027048859745264053,1.1569030284881592,0.3928571343421936,0.875,-0.16067010909318924,-0.048848943784832954
