step,n,teacher_n,succ_all,outcome_all,succ_teacher,outcome_teacher,resp_tokens_teacher_mean,succ_on,outcome_on,resp_tokens_on_mean,on_n
1,64,8,0.34375,0.4375,0.25,1.0,2308.25,0.35714285714285715,0.35714285714285715,5367.375,56
2,64,8,0.15625,0.265625,0.125,1.0,2714.0,0.16071428571428573,0.16071428571428573,4449.5,56
3,64,8,0.265625,0.375,0.125,1.0,4158.25,0.2857142857142857,0.2857142857142857,5238.267857142857,56
4,64,8,0.25,0.3125,0.5,1.0,3561.625,0.21428571428571427,0.21428571428571427,6210.196428571428,56
5,64,8,0.25,0.359375,0.125,1.0,3030.875,0.26785714285714285,0.26785714285714285,4972.625,56
6,64,7,0.40625,0.46875,0.42857142857142855,1.0,2382.4285714285716,0.40350877192982454,0.40350877192982454,6328.456140350877,57
7,64,8,0.234375,0.34375,0.125,1.0,3285.375,0.25,0.25,7267.553571428572,56
8,64,8,0.125,0.234375,0.125,1.0,3621.25,0.125,0.125,7208.642857142857,56
9,64,8,0.328125,0.421875,0.25,1.0,3475.0,0.3392857142857143,0.3392857142857143,5148.339285714285,56
10,64,8,0.484375,0.546875,0.5,1.0,2351.375,0.48214285714285715,0.48214285714285715,5206.678571428572,56
11,64,8,0.28125,0.359375,0.375,1.0,3313.25,0.26785714285714285,0.26785714285714285,5292.571428571428,56
12,64,8,0.375,0.453125,0.375,1.0,3983.625,0.375,0.375,5613.464285714285,56
13,64,8,0.578125,0.609375,0.75,1.0,3783.875,0.5535714285714286,0.5535714285714286,5106.660714285715,56
14,64,8,0.390625,0.484375,0.25,1.0,2933.875,0.4107142857142857,0.4107142857142857,5572.982142857143,56
15,64,8,0.375,0.453125,0.375,1.0,3447.625,0.375,0.375,5596.232142857143,56
16,64,8,0.453125,0.515625,0.5,1.0,2808.375,0.44642857142857145,0.44642857142857145,5143.732142857143,56
17,64,8,0.53125,0.59375,0.5,1.0,3564.5,0.5357142857142857,0.5357142857142857,4228.107142857143,56
18,64,7,0.546875,0.59375,0.5714285714285714,1.0,3472.1428571428573,0.543859649122807,0.543859649122807,6096.824561403509,57
19,64,8,0.5,0.546875,0.625,1.0,2852.0,0.48214285714285715,0.48214285714285715,4085.0178571428573,56
20,64,8,0.46875,0.5625,0.25,1.0,2543.0,0.5,0.5,4906.464285714285,56
21,64,8,0.453125,0.515625,0.5,1.0,2610.0,0.44642857142857145,0.44642857142857145,5777.625,56
22,64,7,0.453125,0.515625,0.42857142857142855,1.0,3092.1428571428573,0.45614035087719296,0.45614035087719296,4986.087719298245,57
23,64,8,0.46875,0.546875,0.375,1.0,3280.25,0.48214285714285715,0.48214285714285715,5669.410714285715,56
24,64,8,0.4375,0.5,0.5,1.0,2996.875,0.42857142857142855,0.42857142857142855,4630.053571428572,56
25,64,7,0.453125,0.5,0.5714285714285714,1.0,3777.5714285714284,0.43859649122807015,0.43859649122807015,5223.508771929824,57
26,64,7,0.421875,0.46875,0.5714285714285714,1.0,3470.8571428571427,0.40350877192982454,0.40350877192982454,5277.771929824561,57
27,64,8,0.578125,0.640625,0.5,1.0,2877.625,0.5892857142857143,0.5892857142857143,4577.5,56
28,64,8,0.4375,0.53125,0.25,1.0,4449.0,0.4642857142857143,0.4642857142857143,7218.125,56
29,64,8,0.6875,0.765625,0.375,1.0,2792.875,0.7321428571428571,0.7321428571428571,3215.464285714286,56
30,64,8,0.515625,0.578125,0.5,1.0,3159.625,0.5178571428571429,0.5178571428571429,5277.196428571428,56
31,64,7,0.3125,0.390625,0.2857142857142857,1.0,3510.8571428571427,0.3157894736842105,0.3157894736842105,6278.087719298245,57
32,64,8,0.34375,0.421875,0.375,1.0,4826.5,0.3392857142857143,0.3392857142857143,6779.732142857143,56
33,64,8,0.625,0.6875,0.5,1.0,3735.875,0.6428571428571429,0.6428571428571429,4128.785714285715,56
34,64,8,0.65625,0.6875,0.75,1.0,2968.875,0.6428571428571429,0.6428571428571429,4944.946428571428,56
35,64,8,0.578125,0.609375,0.75,1.0,3748.25,0.5535714285714286,0.5535714285714286,3887.589285714286,56
36,64,7,0.640625,0.6875,0.5714285714285714,1.0,1278.7142857142858,0.6491228070175439,0.6491228070175439,3173.964912280702,57
37,64,8,0.703125,0.734375,0.75,1.0,2220.625,0.6964285714285714,0.6964285714285714,3474.8214285714284,56
38,64,7,0.578125,0.625,0.5714285714285714,1.0,2313.5714285714284,0.5789473684210527,0.5789473684210527,4086.5263157894738,57
39,64,7,0.375,0.453125,0.2857142857142857,1.0,4675.0,0.38596491228070173,0.38596491228070173,5371.263157894737,57
40,64,8,0.59375,0.625,0.75,1.0,1956.125,0.5714285714285714,0.5714285714285714,3704.160714285714,56
41,64,8,0.5,0.546875,0.625,1.0,3715.125,0.48214285714285715,0.48214285714285715,4540.928571428572,56
42,64,7,0.421875,0.46875,0.5714285714285714,1.0,3103.5714285714284,0.40350877192982454,0.40350877192982454,4988.7192982456145,57
43,64,8,0.40625,0.515625,0.125,1.0,1895.75,0.44642857142857145,0.44642857142857145,4342.232142857143,56
44,64,8,0.609375,0.640625,0.75,1.0,3869.5,0.5892857142857143,0.5892857142857143,4524.357142857143,56
45,64,8,0.53125,0.59375,0.5,1.0,2612.0,0.5357142857142857,0.5357142857142857,4015.2678571428573,56
46,64,8,0.53125,0.59375,0.5,1.0,2797.625,0.5357142857142857,0.5357142857142857,3988.910714285714,56
47,64,8,0.53125,0.59375,0.5,1.0,3902.625,0.5357142857142857,0.5357142857142857,5115.214285714285,56
